name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.00316,0.00004,0.00028,0.00057,0.00121,0.00018,0.00008,50,2022/08/05
BBC,0.00948,0.00011,0.00074,0.00103,0.00094,0.00336,0.00013,44,2022/08/05
Fox News,0.02839,0.00008,0.00261,0.00297,0.01002,0.00369,0.00055,160,2022/08/05
NBC News,0.05921,0.00028,0.00127,0.02659,0.00610,0.01215,0.00244,62,2022/08/05
New York Post,0.05531,0.00013,0.00206,0.00385,0.03069,0.00087,0.00205,40,2022/08/05
Newsmax,0.03693,0.00006,0.00049,0.01095,0.01974,0.00224,0.00011,50,2022/08/05
Newsweek,0.03709,0.00020,0.00917,0.00137,0.00717,0.00441,0.00229,101,2022/08/05
One America News Network (OAN),0.00362,0.00005,0.00036,0.00037,0.00054,0.00058,0.00005,28,2022/08/05
Reuters,0.00146,0.00004,0.00028,0.00032,0.00049,0.00009,0.00004,38,2022/08/05
The Epoch Times,0.00393,0.00026,0.00183,0.00057,0.00223,0.00025,0.00017,99,2022/08/05
The Guardian (US),0.03399,0.00053,0.00101,0.02394,0.00855,0.00733,0.00046,93,2022/08/05
The Hill,0.01890,0.00005,0.00044,0.01528,0.00202,0.00047,0.00021,46,2022/08/05
The New York Times,0.01247,0.00013,0.00071,0.00679,0.00206,0.00095,0.00030,61,2022/08/05
The Wall Street Journal,0.00181,0.00011,0.00087,0.00042,0.00112,0.00022,0.00006,70,2022/08/05
The Washington Post,0.03367,0.00005,0.00045,0.00162,0.02275,0.00038,0.00379,111,2022/08/05
The Washington Times,0.00526,0.00008,0.00028,0.00394,0.00061,0.00013,0.00012,35,2022/08/05
Washington Examiner,0.00879,0.00004,0.00032,0.00113,0.00332,0.00067,0.00008,62,2022/08/05
