name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Fox News,0.02032,0.00011,0.00099,0.00218,0.00998,0.00042,0.00026,16.79,33.58,49.64,137,2023/12/08
NBC News,0.03861,0.00015,0.00091,0.01941,0.00577,0.00072,0.00391,20.45,22.73,56.82,44,2023/12/08
New York Post,0.08109,0.00040,0.02167,0.00341,0.04940,0.00329,0.00174,13.33,40.0,46.67,45,2023/12/08
Newsmax,0.02354,0.00018,0.00071,0.00542,0.00110,0.00456,0.00016,2.0,50.0,48.0,50,2023/12/08
One America News Network (OAN),0.00461,0.00009,0.00064,0.00083,0.00091,0.00031,0.00123,21.74,39.13,39.13,23,2023/12/08
The Epoch Times,0.00817,0.00012,0.00079,0.00130,0.00527,0.00031,0.00032,9.239,54.89,35.87,184,2023/12/08
The Hill,0.00678,0.00004,0.00026,0.00263,0.00158,0.00032,0.00008,7.407,44.44,48.15,27,2023/12/08
The Wall Street Journal,0.00262,0.00008,0.00053,0.00069,0.00118,0.00023,0.00008,7.576,71.21,21.21,66,2023/12/08
The Washington Times,0.05820,0.00008,0.00063,0.00717,0.04346,0.00051,0.00010,12.99,41.56,45.45,77,2023/12/08
Washington Examiner,0.05718,0.00007,0.00065,0.00497,0.02968,0.00633,0.00502,6.897,43.1,50.0,58,2023/12/08
