name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Fox News,0.02239,0.00007,0.00045,0.00335,0.01231,0.00076,0.00021,26.24,33.33,40.43,141,2023/12/25
NBC News,0.01546,0.00008,0.00037,0.01079,0.00285,0.00020,0.00040,21.67,28.33,50.0,60,2023/12/25
New York Post,0.05922,0.00017,0.00097,0.00130,0.01168,0.02006,0.01165,22.22,33.33,44.44,45,2023/12/25
Newsmax,0.03635,0.00017,0.00141,0.01443,0.00395,0.00131,0.00531,18.0,38.0,44.0,50,2023/12/25
One America News Network (OAN),0.01203,0.00006,0.00038,0.00567,0.00241,0.00020,0.00006,8.696,39.13,52.17,23,2023/12/25
The Epoch Times,0.01132,0.00011,0.00342,0.00254,0.00171,0.00036,0.00065,15.59,44.62,39.78,186,2023/12/25
The Hill,0.00500,0.00004,0.00043,0.00142,0.00151,0.00011,0.00012,7.407,40.74,51.85,27,2023/12/25
The Wall Street Journal,0.00321,0.00005,0.00034,0.00153,0.00060,0.00019,0.00006,21.54,58.46,20.0,65,2023/12/25
The Washington Times,0.02245,0.00011,0.00059,0.00906,0.00191,0.00409,0.00023,13.41,37.8,48.78,82,2023/12/25
Washington Examiner,0.01500,0.00004,0.00027,0.00035,0.00629,0.00330,0.00007,14.04,42.11,43.86,57,2023/12/25
