name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Fox News,0.02134,0.00012,0.00645,0.00169,0.00893,0.00043,0.00021,24.14,32.41,43.45,145,2023/12/24
NBC News,0.01682,0.00007,0.00032,0.01025,0.00253,0.00076,0.00020,19.35,27.42,53.23,62,2023/12/24
New York Post,0.08047,0.00022,0.00296,0.01645,0.01838,0.00133,0.02828,8.889,24.44,66.67,45,2023/12/24
Newsmax,0.03025,0.00022,0.00143,0.01479,0.00473,0.00280,0.00220,8.0,44.0,48.0,50,2023/12/24
One America News Network (OAN),0.01126,0.00007,0.00042,0.00566,0.00241,0.00012,0.00008,8.696,34.78,56.52,23,2023/12/24
The Epoch Times,0.00908,0.00009,0.00053,0.00250,0.00325,0.00041,0.00010,15.22,46.74,38.04,184,2023/12/24
The Hill,0.01725,0.00003,0.00037,0.00024,0.00595,0.00010,0.00715,0.00000,30.77,69.23,26,2023/12/24
The Wall Street Journal,0.01703,0.00013,0.01023,0.00158,0.00184,0.00094,0.00113,15.15,62.12,22.73,66,2023/12/24
The Washington Times,0.02534,0.00011,0.00053,0.01122,0.00206,0.00396,0.00019,17.07,40.24,42.68,82,2023/12/24
Washington Examiner,0.01288,0.00004,0.00030,0.00045,0.00599,0.00090,0.00010,9.836,32.79,57.38,61,2023/12/24
