name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Fox News,0.01618,0.00008,0.00044,0.00228,0.00172,0.00607,0.00101,19.72,35.21,45.07,142,2023/12/04
NBC News,0.04782,0.00032,0.00075,0.03148,0.00651,0.00258,0.00056,9.524,30.16,60.32,63,2023/12/04
New York Post,0.07268,0.00019,0.00747,0.00611,0.02577,0.00304,0.00528,15.56,15.56,68.89,45,2023/12/04
Newsmax,0.02980,0.00016,0.00073,0.00749,0.00653,0.00532,0.00020,10.0,44.0,46.0,50,2023/12/04
Reuters,0.00826,0.00005,0.00024,0.00291,0.00058,0.00048,0.00007,15.56,24.44,60.0,45,2023/12/04
The Epoch Times,0.00827,0.00009,0.00065,0.00072,0.00425,0.00050,0.00009,8.065,51.61,40.32,186,2023/12/04
The Hill,0.00350,0.00004,0.00034,0.00020,0.00117,0.00022,0.00006,8.333,37.5,54.17,24,2023/12/04
The Wall Street Journal,0.00176,0.00012,0.00075,0.00046,0.00073,0.00016,0.00009,11.76,66.18,22.06,68,2023/12/04
The Washington Times,0.01358,0.00007,0.00040,0.00162,0.00659,0.00064,0.00078,12.66,46.84,40.51,79,2023/12/04
Washington Examiner,0.00414,0.00004,0.00032,0.00024,0.00193,0.00016,0.00005,8.929,32.14,58.93,56,2023/12/04
