name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Fox News,0.02173,0.00008,0.00057,0.00112,0.01338,0.00120,0.00061,20.83,38.19,40.97,144,2023/12/16
NBC News,0.01970,0.00023,0.00044,0.01090,0.00106,0.00042,0.00458,17.65,43.14,39.22,51,2023/12/16
New York Post,0.05618,0.00010,0.00087,0.00830,0.02528,0.00246,0.00049,22.22,22.22,55.56,45,2023/12/16
Newsmax,0.04387,0.00030,0.00167,0.01366,0.00271,0.01088,0.01107,2.0,42.0,56.0,50,2023/12/16
One America News Network (OAN),0.00243,0.00016,0.00131,0.00064,0.00145,0.00018,0.00007,13.04,60.87,26.09,23,2023/12/16
The Epoch Times,0.01206,0.00010,0.00097,0.00306,0.00189,0.00202,0.00096,10.75,56.99,32.26,186,2023/12/16
The Hill,0.01252,0.00005,0.00047,0.00039,0.00478,0.00131,0.00018,3.571,28.57,67.86,28,2023/12/16
The Wall Street Journal,0.01009,0.00004,0.00027,0.00171,0.00388,0.00086,0.00005,16.92,55.38,27.69,65,2023/12/16
The Washington Times,0.01555,0.00008,0.00077,0.00331,0.00235,0.00234,0.00023,12.2,45.12,42.68,82,2023/12/16
Washington Examiner,0.02373,0.00006,0.00045,0.00624,0.00145,0.00108,0.01014,6.667,35.0,58.33,60,2023/12/16
