name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.00917,0.00007,0.00050,0.00384,0.00165,0.00080,0.00009,12.0,44.0,44.0,50,2023/01/15
BBC,0.01986,0.00012,0.00088,0.00318,0.00336,0.00262,0.00019,10.64,48.94,40.43,47,2023/01/15
Fox News,0.02271,0.00007,0.00062,0.00286,0.00940,0.00288,0.00021,18.4,33.13,48.47,163,2023/01/15
NBC News,0.03622,0.00017,0.00076,0.01896,0.00417,0.00084,0.00455,5.97,35.82,58.21,67,2023/01/15
New York Post,0.04370,0.00037,0.00105,0.01486,0.01769,0.00353,0.00104,20.45,36.36,43.18,44,2023/01/15
Newsmax,0.01672,0.00008,0.00072,0.00440,0.00360,0.00347,0.00011,1.961,52.94,45.1,51,2023/01/15
Newsweek,0.01415,0.00005,0.00040,0.00056,0.00765,0.00106,0.00009,8.696,43.48,47.83,92,2023/01/15
One America News Network (OAN),0.00836,0.00014,0.00113,0.00076,0.00175,0.00133,0.00015,14.29,67.86,17.86,28,2023/01/15
Reuters,0.00271,0.00006,0.00043,0.00080,0.00053,0.00022,0.00005,13.79,51.72,34.48,29,2023/01/15
The Epoch Times,0.00600,0.00025,0.00194,0.00318,0.00231,0.00020,0.00012,16.49,51.55,31.96,97,2023/01/15
The Guardian (US),0.04034,0.00011,0.00091,0.00123,0.01308,0.00202,0.01056,12.5,36.46,51.04,96,2023/01/15
The Hill,0.00706,0.00005,0.00036,0.00430,0.00065,0.00042,0.00009,9.524,45.24,45.24,42,2023/01/15
The New York Times,0.00704,0.00007,0.00040,0.00190,0.00088,0.00087,0.00009,11.43,61.43,27.14,70,2023/01/15
The Wall Street Journal,0.01822,0.00006,0.00065,0.00041,0.01388,0.00069,0.00021,10.45,56.72,32.84,67,2023/01/15
The Washington Post,0.02187,0.00007,0.00050,0.00136,0.00375,0.00227,0.00402,12.24,37.76,50.0,98,2023/01/15
The Washington Times,0.00507,0.00003,0.00027,0.00019,0.00340,0.00007,0.00005,10.81,48.65,40.54,37,2023/01/15
Washington Examiner,0.01872,0.00010,0.00065,0.00195,0.00148,0.00848,0.00051,6.154,52.31,41.54,65,2023/01/15
