name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.01349,0.00006,0.00039,0.00127,0.00439,0.00072,0.00095,18.0,36.0,46.0,50,2023/01/09
BBC,0.04882,0.00008,0.00053,0.00308,0.03056,0.00659,0.00017,18.6,32.56,48.84,43,2023/01/09
Fox News,0.02588,0.00006,0.00054,0.00076,0.00621,0.00148,0.00666,14.11,42.33,43.56,163,2023/01/09
NBC News,0.02208,0.00009,0.00041,0.00991,0.00297,0.00037,0.00367,11.48,39.34,49.18,61,2023/01/09
New York Post,0.03375,0.00026,0.01673,0.00043,0.00410,0.00178,0.00476,12.5,30.0,57.5,40,2023/01/09
Newsmax,0.01521,0.00009,0.00042,0.00402,0.00128,0.00149,0.00010,1.961,49.02,49.02,51,2023/01/09
Newsweek,0.01754,0.00008,0.00140,0.00049,0.00494,0.00074,0.00245,10.2,42.86,46.94,98,2023/01/09
One America News Network (OAN),0.01153,0.00010,0.00061,0.00126,0.00100,0.00144,0.00118,14.29,50.0,35.71,28,2023/01/09
Reuters,0.00971,0.00004,0.00028,0.00044,0.00490,0.00048,0.00006,0.00000,45.45,54.55,33,2023/01/09
The Epoch Times,0.01340,0.00025,0.00168,0.00279,0.00262,0.00055,0.00369,15.38,49.04,35.58,104,2023/01/09
The Guardian (US),0.03451,0.00014,0.00145,0.00259,0.01408,0.00144,0.00149,7.071,29.29,63.64,99,2023/01/09
The Hill,0.02335,0.00004,0.00028,0.00039,0.01700,0.00235,0.00006,13.95,46.51,39.53,43,2023/01/09
The New York Times,0.01908,0.00009,0.00075,0.00037,0.01232,0.00124,0.00013,17.46,39.68,42.86,63,2023/01/09
The Wall Street Journal,0.01028,0.00007,0.00051,0.00334,0.00094,0.00237,0.00011,13.43,61.19,25.37,67,2023/01/09
The Washington Post,0.01545,0.00007,0.00039,0.00172,0.00934,0.00039,0.00038,14.43,53.61,31.96,97,2023/01/09
The Washington Times,0.04296,0.00005,0.00034,0.00061,0.02268,0.00055,0.00554,14.29,31.43,54.29,35,2023/01/09
Washington Examiner,0.02224,0.00006,0.00067,0.00454,0.00688,0.00083,0.00014,1.667,51.67,46.67,60,2023/01/09
