name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.03349,0.00010,0.00070,0.01855,0.00431,0.00201,0.00089,50,2023/01/04
BBC,0.01579,0.00011,0.00071,0.00470,0.00231,0.00058,0.00824,45,2023/01/04
Fox News,0.01187,0.00007,0.00064,0.00036,0.00336,0.00087,0.00216,159,2023/01/04
NBC News,0.03260,0.00006,0.00036,0.01624,0.00768,0.00129,0.00016,66,2023/01/04
New York Post,0.03474,0.00010,0.00087,0.00437,0.02050,0.00062,0.00034,39,2023/01/04
Newsmax,0.02086,0.00015,0.00110,0.00161,0.00170,0.00252,0.00819,50,2023/01/04
Newsweek,0.02290,0.00013,0.00087,0.00449,0.01142,0.00084,0.00033,109,2023/01/04
One America News Network (OAN),0.01620,0.00006,0.00036,0.01008,0.00275,0.00012,0.00009,28,2023/01/04
Reuters,0.00156,0.00006,0.00034,0.00029,0.00042,0.00018,0.00008,36,2023/01/04
The Epoch Times,0.01159,0.00009,0.00067,0.00465,0.00187,0.00054,0.00018,105,2023/01/04
The Guardian (US),0.03936,0.00017,0.00100,0.01509,0.01041,0.00119,0.00941,95,2023/01/04
The Hill,0.01759,0.00005,0.00036,0.00030,0.00507,0.00618,0.00011,38,2023/01/04
The New York Times,0.02273,0.00013,0.00074,0.00247,0.00907,0.00034,0.00519,63,2023/01/04
The Wall Street Journal,0.00621,0.00012,0.00078,0.00029,0.00535,0.00013,0.00007,69,2023/01/04
The Washington Post,0.03595,0.00006,0.00042,0.00515,0.02535,0.00085,0.00186,103,2023/01/04
The Washington Times,0.01114,0.00004,0.00028,0.00096,0.00130,0.00063,0.00136,37,2023/01/04
Washington Examiner,0.01884,0.00008,0.00060,0.01109,0.00439,0.00036,0.00008,64,2023/01/04
