name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.00948,0.00009,0.00064,0.00172,0.00171,0.00137,0.00015,24.0,28.0,48.0,50,2023/01/05
BBC,0.02322,0.00011,0.00122,0.00218,0.00528,0.00059,0.00932,15.56,48.89,35.56,45,2023/01/05
Fox News,0.01256,0.00005,0.00046,0.00084,0.00752,0.00012,0.00035,14.94,44.81,40.26,154,2023/01/05
NBC News,0.05742,0.00019,0.00087,0.03868,0.01611,0.00235,0.00138,7.692,38.46,53.85,65,2023/01/05
New York Post,0.06057,0.00015,0.00147,0.00443,0.01168,0.00210,0.01932,20.0,25.0,55.0,40,2023/01/05
Newsmax,0.02306,0.00009,0.00075,0.00968,0.00230,0.00095,0.00013,2.0,48.0,50.0,50,2023/01/05
Newsweek,0.00830,0.00006,0.00040,0.00107,0.00264,0.00064,0.00011,8.333,51.85,39.81,108,2023/01/05
One America News Network (OAN),0.02876,0.00005,0.00035,0.02534,0.00200,0.00103,0.00009,0.00000,60.71,39.29,28,2023/01/05
Reuters,0.00167,0.00008,0.00054,0.00032,0.00049,0.00028,0.00006,8.571,60.0,31.43,35,2023/01/05
The Epoch Times,0.00706,0.00015,0.00116,0.00096,0.00245,0.00047,0.00050,14.56,48.54,36.89,103,2023/01/05
The Guardian (US),0.03858,0.00018,0.00109,0.00530,0.01115,0.00039,0.01520,9.375,48.96,41.67,96,2023/01/05
The Hill,0.01677,0.00006,0.00043,0.00529,0.00492,0.00083,0.00026,8.108,40.54,51.35,37,2023/01/05
The New York Times,0.03780,0.00008,0.00089,0.00405,0.02332,0.00053,0.00098,15.15,50.0,34.85,66,2023/01/05
The Wall Street Journal,0.00123,0.00010,0.00068,0.00024,0.00100,0.00009,0.00006,14.93,65.67,19.4,67,2023/01/05
The Washington Post,0.01797,0.00005,0.00034,0.00062,0.01061,0.00016,0.00402,11.65,40.78,47.57,103,2023/01/05
The Washington Times,0.01224,0.00008,0.00027,0.00172,0.00443,0.00038,0.00021,8.333,38.89,52.78,36,2023/01/05
Washington Examiner,0.02344,0.00028,0.01451,0.00363,0.00588,0.00059,0.00018,3.077,53.85,43.08,65,2023/01/05
