name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.02983,0.00010,0.00060,0.00230,0.00152,0.00179,0.01704,13.64,29.55,56.82,44,2023/01/02
BBC,0.01052,0.00008,0.00059,0.00069,0.00363,0.00068,0.00016,13.33,60.0,26.67,45,2023/01/02
Fox News,0.00593,0.00007,0.00045,0.00040,0.00117,0.00090,0.00056,20.95,37.16,41.89,148,2023/01/02
NBC News,0.01768,0.00006,0.00043,0.00310,0.00202,0.00030,0.00695,12.9,40.32,46.77,62,2023/01/02
New York Post,0.03290,0.00009,0.00102,0.00191,0.01640,0.00154,0.00041,23.08,23.08,53.85,39,2023/01/02
Newsmax,0.01224,0.00007,0.00045,0.00102,0.00514,0.00086,0.00006,0.00000,49.02,50.98,51,2023/01/02
Newsweek,0.01553,0.00013,0.00085,0.00167,0.00754,0.00024,0.00020,11.22,37.76,51.02,98,2023/01/02
One America News Network (OAN),0.00784,0.00007,0.00052,0.00049,0.00088,0.00278,0.00012,14.29,53.57,32.14,28,2023/01/02
Reuters,0.02300,0.00010,0.00041,0.00237,0.00089,0.01196,0.00011,18.75,37.5,43.75,32,2023/01/02
The Epoch Times,0.00656,0.00016,0.00122,0.00066,0.00275,0.00077,0.00014,13.0,58.0,29.0,100,2023/01/02
The Guardian (US),0.02076,0.00014,0.00095,0.00387,0.00715,0.00082,0.00280,18.48,36.96,44.57,92,2023/01/02
The Hill,0.00906,0.00007,0.00040,0.00046,0.00515,0.00042,0.00013,15.0,42.5,42.5,40,2023/01/02
The New York Times,0.01025,0.00013,0.00062,0.00046,0.00253,0.00021,0.00206,21.05,43.86,35.09,57,2023/01/02
The Wall Street Journal,0.00381,0.00006,0.00045,0.00058,0.00084,0.00066,0.00007,16.42,59.7,23.88,67,2023/01/02
The Washington Post,0.02495,0.00005,0.00035,0.00107,0.01555,0.00204,0.00011,21.28,35.11,43.62,94,2023/01/02
The Washington Times,0.00820,0.00004,0.00036,0.00031,0.00386,0.00054,0.00013,5.263,34.21,60.53,38,2023/01/02
Washington Examiner,0.01072,0.00012,0.00041,0.00087,0.00333,0.00058,0.00229,12.31,33.85,53.85,65,2023/01/02
