name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
BBC,0.01711,0.00013,0.00082,0.00144,0.00488,0.00391,0.00022,45,2023/01/23
Fox News,0.02550,0.00013,0.00583,0.00181,0.00755,0.00045,0.00686,163,2023/01/23
Newsmax,0.01226,0.00005,0.00032,0.00185,0.00220,0.00276,0.00008,50,2023/01/23
The Washington Times,0.01801,0.00005,0.00030,0.00053,0.00348,0.00321,0.00015,33,2023/01/23
The New York Times,0.01296,0.00006,0.00050,0.00092,0.00642,0.00056,0.00011,75,2023/01/23
New York Post,0.03883,0.00010,0.00114,0.00883,0.00452,0.00842,0.00187,40,2023/01/23
Associated Press,0.02501,0.00005,0.00046,0.00031,0.01537,0.00236,0.00011,50,2023/01/23
NBC News,0.02382,0.00007,0.00041,0.01405,0.00535,0.00029,0.00238,64,2023/01/23
