name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.01293,0.00006,0.00048,0.00289,0.00322,0.00027,0.00009,45,2022/01/08
BBC,0.02466,0.00014,0.00099,0.00634,0.00933,0.00120,0.00325,52,2022/01/08
Fox News,0.02374,0.00007,0.00065,0.00041,0.01324,0.00037,0.00381,116,2022/01/08
NBC News,0.04248,0.00021,0.00092,0.02658,0.00480,0.00335,0.00162,68,2022/01/08
New York Post,0.02288,0.00013,0.00203,0.00042,0.00803,0.00035,0.00390,28,2022/01/08
Newsmax,0.05792,0.00009,0.00071,0.00113,0.05150,0.00043,0.00017,37,2022/01/08
Newsweek,0.02030,0.00013,0.00065,0.00486,0.00961,0.00088,0.00114,76,2022/01/08
One America News Network (OAN),0.03443,0.00009,0.00044,0.00095,0.02358,0.00162,0.00010,28,2022/01/08
The Epoch Times,0.00279,0.00022,0.00175,0.00066,0.00204,0.00025,0.00014,107,2022/01/08
The Guardian (US),0.02718,0.00015,0.00075,0.00949,0.00351,0.00863,0.00266,96,2022/01/08
The Hill,0.00186,0.00004,0.00028,0.00018,0.00044,0.00064,0.00007,31,2022/01/08
The New York Times,0.01484,0.00006,0.00050,0.00035,0.01253,0.00020,0.00008,62,2022/01/08
The Wall Street Journal,0.00581,0.00006,0.00037,0.00229,0.00122,0.00012,0.00006,64,2022/01/08
The Washington Post,0.01817,0.00006,0.00040,0.00315,0.00729,0.00262,0.00014,101,2022/01/08
The Washington Times,0.04882,0.00008,0.00057,0.02067,0.00484,0.00027,0.00458,29,2022/01/08
Washington Examiner,0.00977,0.00005,0.00042,0.00050,0.00341,0.00070,0.00075,65,2022/01/08
