name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.01469,0.00008,0.00038,0.00501,0.00122,0.00145,0.00026,7.692,35.9,56.41,39,2022/03/14
BBC,0.01148,0.00012,0.00088,0.00188,0.00152,0.00402,0.00024,10.0,36.0,54.0,50,2022/03/14
Fox News,0.02387,0.00012,0.00788,0.00368,0.00953,0.00292,0.00039,15.7,42.98,41.32,121,2022/03/14
NBC News,0.01909,0.00008,0.00045,0.00844,0.00244,0.00092,0.00025,12.31,36.92,50.77,65,2022/03/14
New York Post,0.06130,0.00020,0.01752,0.00054,0.01381,0.00065,0.00726,18.75,37.5,43.75,32,2022/03/14
Newsmax,0.03652,0.00008,0.00050,0.00590,0.02336,0.00341,0.00017,0.00000,54.05,45.95,37,2022/03/14
Newsweek,0.02386,0.00015,0.00096,0.00525,0.01425,0.00028,0.00022,12.5,48.86,38.64,88,2022/03/14
One America News Network (OAN),0.01153,0.00013,0.00112,0.00030,0.00874,0.00012,0.00006,12.0,44.0,44.0,25,2022/03/14
Reuters,0.00330,0.00004,0.00027,0.00065,0.00042,0.00030,0.00005,8.475,44.07,47.46,59,2022/03/14
The Epoch Times,0.00811,0.00021,0.00155,0.00119,0.00312,0.00076,0.00157,13.0,49.0,38.0,100,2022/03/14
The Guardian (US),0.04707,0.00014,0.00126,0.00427,0.02160,0.00240,0.00737,12.0,34.0,54.0,100,2022/03/14
The Hill,0.04226,0.00005,0.00041,0.00034,0.03207,0.00142,0.00013,0.00000,46.67,53.33,30,2022/03/14
The New York Times,0.00500,0.00013,0.00106,0.00095,0.00114,0.00139,0.00018,9.375,64.06,26.56,64,2022/03/14
The Wall Street Journal,0.00280,0.00006,0.00044,0.00058,0.00062,0.00022,0.00008,8.696,46.38,44.93,69,2022/03/14
The Washington Post,0.00940,0.00010,0.00050,0.00429,0.00183,0.00068,0.00020,22.33,38.83,38.83,103,2022/03/14
The Washington Times,0.02386,0.00016,0.00096,0.01234,0.00473,0.00037,0.00208,7.143,28.57,64.29,28,2022/03/14
Washington Examiner,0.02185,0.00007,0.00054,0.00064,0.00959,0.00404,0.00093,5.97,28.36,65.67,67,2022/03/14
