name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.00512,0.00008,0.00066,0.00058,0.00183,0.00051,0.00011,15.91,34.09,50.0,44,2022/03/26
BBC,0.03718,0.00017,0.00124,0.00390,0.02224,0.00706,0.00022,9.434,43.4,47.17,53,2022/03/26
Fox News,0.01096,0.00007,0.00051,0.00189,0.00194,0.00142,0.00233,20.66,42.15,37.19,121,2022/03/26
NBC News,0.04063,0.00007,0.00037,0.01906,0.01046,0.00028,0.00037,18.03,36.07,45.9,61,2022/03/26
New York Post,0.04035,0.00090,0.02999,0.01025,0.03082,0.00092,0.00133,21.88,34.38,43.75,32,2022/03/26
Newsmax,0.00807,0.00009,0.00051,0.00288,0.00167,0.00019,0.00026,0.00000,56.76,43.24,37,2022/03/26
Newsweek,0.00777,0.00010,0.00112,0.00105,0.00247,0.00042,0.00047,11.63,46.51,41.86,86,2022/03/26
One America News Network (OAN),0.00245,0.00007,0.00063,0.00030,0.00136,0.00013,0.00007,16.0,40.0,44.0,25,2022/03/26
Reuters,0.00544,0.00006,0.00035,0.00128,0.00049,0.00081,0.00006,10.0,52.5,37.5,40,2022/03/26
The Epoch Times,0.00545,0.00017,0.00139,0.00116,0.00218,0.00025,0.00026,9.524,58.1,32.38,105,2022/03/26
The Guardian (US),0.03716,0.00010,0.00089,0.00483,0.01660,0.00081,0.00636,9.375,32.29,58.33,96,2022/03/26
The Hill,0.02798,0.00005,0.00202,0.00028,0.02155,0.00045,0.00013,0.00000,33.33,66.67,30,2022/03/26
The New York Times,0.01638,0.00012,0.00088,0.00312,0.00633,0.00027,0.00032,1.515,69.7,28.79,66,2022/03/26
The Wall Street Journal,0.00261,0.00014,0.00091,0.00087,0.00112,0.00019,0.00011,14.71,61.76,23.53,68,2022/03/26
The Washington Post,0.02450,0.00017,0.00061,0.00521,0.01376,0.00068,0.00142,19.42,28.16,52.43,103,2022/03/26
The Washington Times,0.00389,0.00009,0.00084,0.00071,0.00116,0.00039,0.00013,9.677,35.48,54.84,31,2022/03/26
Washington Examiner,0.02314,0.00007,0.00068,0.00248,0.00596,0.00064,0.00351,7.576,28.79,63.64,66,2022/03/26
