name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.02406,0.00007,0.00050,0.00553,0.00741,0.00202,0.00025,14.0,40.0,46.0,50,2023/05/14
BBC,0.02114,0.00021,0.00231,0.00406,0.00232,0.00602,0.00058,12.77,42.55,44.68,47,2023/05/14
Fox News,0.02063,0.00012,0.00058,0.00953,0.00223,0.00048,0.00649,20.59,33.82,45.59,136,2023/05/14
NBC News,0.03655,0.00018,0.00079,0.01638,0.00424,0.00050,0.00862,10.61,34.85,54.55,66,2023/05/14
New York Post,0.03904,0.00016,0.00136,0.00825,0.01625,0.00091,0.00191,24.44,15.56,60.0,45,2023/05/14
Newsmax,0.02698,0.00010,0.00054,0.00218,0.01311,0.00086,0.00021,5.882,54.9,39.22,51,2023/05/14
Newsweek,0.02988,0.00022,0.00204,0.00079,0.00298,0.00852,0.00789,10.81,44.59,44.59,74,2023/05/14
One America News Network (OAN),0.00211,0.00026,0.00171,0.00079,0.00153,0.00022,0.00013,26.92,38.46,34.62,26,2023/05/14
Reuters,0.00419,0.00004,0.00025,0.00184,0.00052,0.00032,0.00006,15.91,27.27,56.82,44,2023/05/14
The Epoch Times,0.00576,0.00023,0.00154,0.00255,0.00215,0.00024,0.00016,11.11,53.54,35.35,99,2023/05/14
The Guardian (US),0.04097,0.00025,0.00173,0.00760,0.00900,0.00391,0.01052,9.783,38.04,52.17,92,2023/05/14
The Hill,0.01125,0.00003,0.00032,0.00017,0.00592,0.00012,0.00016,8.108,27.03,64.86,37,2023/05/14
The New York Times,0.01373,0.00013,0.00103,0.00459,0.00461,0.00032,0.00010,17.19,54.69,28.12,64,2023/05/14
The Wall Street Journal,0.01556,0.00012,0.00095,0.00108,0.00214,0.00149,0.00435,4.615,64.62,30.77,65,2023/05/14
The Washington Post,0.01343,0.00006,0.00041,0.00212,0.00246,0.00348,0.00129,17.58,45.05,37.36,91,2023/05/14
The Washington Times,0.02707,0.00006,0.00028,0.01897,0.00167,0.00101,0.00012,7.5,37.5,55.0,40,2023/05/14
Washington Examiner,0.02684,0.00006,0.00039,0.01189,0.00778,0.00482,0.00022,20.31,28.12,51.56,64,2023/05/14
