name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.01525,0.00012,0.00064,0.00989,0.00213,0.00038,0.00023,18.0,40.0,42.0,50,2023/05/25
BBC,0.00520,0.00011,0.00087,0.00030,0.00231,0.00036,0.00037,22.92,47.92,29.17,48,2023/05/25
Fox News,0.02321,0.00008,0.00170,0.00195,0.00920,0.00091,0.00218,12.14,35.71,52.14,140,2023/05/25
NBC News,0.01588,0.00006,0.00031,0.00269,0.00621,0.00177,0.00016,15.52,24.14,60.34,58,2023/05/25
New York Post,0.01656,0.00009,0.00097,0.00092,0.00456,0.00279,0.00025,28.26,26.09,45.65,46,2023/05/25
Newsmax,0.01246,0.00011,0.00081,0.00888,0.00174,0.00058,0.00018,0.00000,58.82,41.18,51,2023/05/25
Newsweek,0.03715,0.00010,0.00126,0.00100,0.02113,0.00426,0.00021,8.571,34.29,57.14,70,2023/05/25
One America News Network (OAN),0.00321,0.00014,0.00100,0.00050,0.00128,0.00021,0.00011,15.38,57.69,26.92,26,2023/05/25
Reuters,0.00154,0.00005,0.00033,0.00034,0.00044,0.00014,0.00005,15.56,53.33,31.11,45,2023/05/25
The Epoch Times,0.00857,0.00013,0.00106,0.00314,0.00228,0.00040,0.00016,11.43,51.43,37.14,105,2023/05/25
The Guardian (US),0.03902,0.00011,0.00116,0.00792,0.01636,0.00731,0.00022,13.83,30.85,55.32,94,2023/05/25
The Hill,0.01399,0.00004,0.00039,0.00019,0.01175,0.00009,0.00004,2.703,35.14,62.16,37,2023/05/25
The New York Times,0.01987,0.00040,0.00129,0.00687,0.00513,0.00254,0.00035,8.929,60.71,30.36,56,2023/05/25
The Wall Street Journal,0.00498,0.00011,0.00078,0.00066,0.00086,0.00028,0.00065,12.12,56.06,31.82,66,2023/05/25
The Washington Post,0.01096,0.00006,0.00042,0.00112,0.00439,0.00042,0.00074,10.42,39.58,50.0,96,2023/05/25
Washington Examiner,0.00665,0.00005,0.00046,0.00057,0.00161,0.00064,0.00011,7.937,36.51,55.56,63,2023/05/25
