name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.04735,0.00021,0.00099,0.04629,0.00414,0.00092,0.00059,12.0,36.0,52.0,50,2023/05/29
BBC,0.03267,0.00011,0.00345,0.00212,0.00985,0.00475,0.00033,11.36,56.82,31.82,44,2023/05/29
Fox News,0.02196,0.00012,0.00186,0.00508,0.00615,0.00103,0.00297,20.57,31.21,48.23,141,2023/05/29
NBC News,0.01854,0.00005,0.00040,0.00622,0.00362,0.00016,0.00337,7.463,37.31,55.22,67,2023/05/29
New York Post,0.04810,0.00026,0.01422,0.00208,0.01579,0.00083,0.01552,24.44,22.22,53.33,45,2023/05/29
Newsmax,0.03056,0.00029,0.00118,0.01491,0.00389,0.00413,0.00057,12.0,44.0,44.0,50,2023/05/29
Newsweek,0.02529,0.00007,0.00069,0.00195,0.00763,0.00422,0.00012,10.0,44.29,45.71,70,2023/05/29
One America News Network (OAN),0.00858,0.00010,0.00037,0.00892,0.00111,0.00015,0.00013,19.23,46.15,34.62,26,2023/05/29
Reuters,0.04165,0.00024,0.00114,0.00682,0.00098,0.00435,0.02276,15.79,47.37,36.84,38,2023/05/29
The Epoch Times,0.00666,0.00024,0.00171,0.00134,0.00217,0.00165,0.00029,11.65,49.51,38.83,103,2023/05/29
The Guardian (US),0.00580,0.00007,0.00057,0.00100,0.00218,0.00019,0.00017,16.16,34.34,49.49,99,2023/05/29
The Hill,0.00754,0.00007,0.00659,0.00014,0.00055,0.00010,0.00028,5.263,36.84,57.89,38,2023/05/29
The New York Times,0.02702,0.00024,0.00168,0.00474,0.00505,0.00535,0.00228,10.0,43.33,46.67,60,2023/05/29
The Wall Street Journal,0.01346,0.00009,0.00051,0.00448,0.00683,0.00023,0.00014,10.77,56.92,32.31,65,2023/05/29
The Washington Post,0.03320,0.00016,0.00064,0.01820,0.00904,0.00132,0.00100,19.1,38.2,42.7,89,2023/05/29
The Washington Times,0.01586,0.00010,0.00039,0.01048,0.00158,0.00032,0.00159,18.67,40.0,41.33,75,2023/05/29
Washington Examiner,0.00313,0.00009,0.00035,0.00037,0.00106,0.00027,0.00014,11.29,50.0,38.71,62,2023/05/29
