name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.00479,0.00010,0.00093,0.00073,0.00140,0.00032,0.00010,22.0,36.0,42.0,50,2023/05/01
Fox News,0.01978,0.00010,0.00146,0.00246,0.00322,0.00060,0.00515,16.08,42.66,41.26,143,2023/05/01
NBC News,0.04323,0.00032,0.00234,0.02305,0.01951,0.01239,0.00111,3.509,43.86,52.63,57,2023/05/01
New York Post,0.04175,0.00012,0.00117,0.00241,0.00539,0.00348,0.01188,20.0,46.67,33.33,45,2023/05/01
Newsmax,0.03005,0.00013,0.00085,0.00497,0.00190,0.00475,0.00118,6.0,46.0,48.0,50,2023/05/01
One America News Network (OAN),0.01021,0.00006,0.00044,0.00047,0.00072,0.00112,0.00364,26.92,34.62,38.46,26,2023/05/01
Reuters,0.01574,0.00008,0.00055,0.00072,0.00092,0.00239,0.00470,22.73,45.45,31.82,44,2023/05/01
The Epoch Times,0.01296,0.00024,0.00175,0.00176,0.00535,0.00152,0.00136,9.434,59.43,31.13,106,2023/05/01
The Hill,0.00844,0.00004,0.00038,0.00025,0.00280,0.00051,0.00069,9.756,39.02,51.22,41,2023/05/01
The Wall Street Journal,0.00232,0.00005,0.00039,0.00040,0.00092,0.00011,0.00006,24.62,44.62,30.77,65,2023/05/01
The Washington Post,0.01881,0.00013,0.00046,0.00582,0.00273,0.00723,0.00137,20.79,35.64,43.56,101,2023/05/01
The Washington Times,0.01828,0.00008,0.00040,0.00584,0.00214,0.00067,0.00062,7.5,47.5,45.0,40,2023/05/01
