name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.03318,0.00005,0.00046,0.02120,0.00326,0.00022,0.00228,16.33,46.94,36.73,49,2023/05/18
BBC,0.01499,0.00017,0.00183,0.00074,0.00187,0.00220,0.00607,15.91,50.0,34.09,44,2023/05/18
Fox News,0.02670,0.00013,0.00113,0.00250,0.00263,0.00283,0.00976,10.14,44.93,44.93,138,2023/05/18
NBC News,0.03733,0.00020,0.00073,0.02985,0.00593,0.00052,0.00188,6.154,33.85,60.0,65,2023/05/18
New York Post,0.09409,0.00020,0.00742,0.00545,0.04988,0.00347,0.01852,13.04,32.61,54.35,46,2023/05/18
Newsmax,0.00326,0.00005,0.00038,0.00099,0.00123,0.00014,0.00006,12.0,58.0,30.0,50,2023/05/18
Newsweek,0.03133,0.00021,0.01025,0.00161,0.00378,0.00068,0.00475,7.895,40.79,51.32,76,2023/05/18
One America News Network (OAN),0.00330,0.00015,0.00112,0.00032,0.00112,0.00112,0.00013,26.92,34.62,38.46,26,2023/05/18
Reuters,0.02241,0.00011,0.00070,0.01076,0.00682,0.00029,0.00013,22.22,40.0,37.78,45,2023/05/18
The Epoch Times,0.01586,0.00023,0.00157,0.00435,0.00646,0.00250,0.00014,14.85,42.57,42.57,101,2023/05/18
The Guardian (US),0.04155,0.00016,0.00311,0.00727,0.01002,0.00207,0.00201,11.0,39.0,50.0,100,2023/05/18
The Hill,0.01456,0.00008,0.00038,0.00551,0.00198,0.00056,0.00041,5.714,42.86,51.43,35,2023/05/18
The New York Times,0.02277,0.00015,0.00144,0.00645,0.00301,0.00148,0.00070,9.259,44.44,46.3,54,2023/05/18
The Wall Street Journal,0.00551,0.00007,0.00062,0.00338,0.00088,0.00010,0.00010,17.19,57.81,25.0,64,2023/05/18
Washington Examiner,0.04159,0.00020,0.01331,0.00161,0.00879,0.00038,0.01218,3.333,25.0,71.67,60,2023/05/18
