name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.01384,0.00007,0.00033,0.00089,0.00074,0.00016,0.01289,16.0,46.0,38.0,50,2023/05/12
BBC,0.00540,0.00016,0.00122,0.00204,0.00166,0.00032,0.00016,17.39,50.0,32.61,46,2023/05/12
Fox News,0.04158,0.00012,0.00875,0.00623,0.01932,0.00086,0.00446,9.028,31.94,59.03,144,2023/05/12
NBC News,0.04822,0.00028,0.00070,0.03325,0.00713,0.00253,0.00231,8.696,27.54,63.77,69,2023/05/12
New York Post,0.08376,0.00036,0.01047,0.00856,0.02380,0.00643,0.02420,17.78,40.0,42.22,45,2023/05/12
Newsweek,0.02521,0.00019,0.00136,0.00245,0.00324,0.00827,0.00357,8.0,53.33,38.67,75,2023/05/12
One America News Network (OAN),0.00723,0.00004,0.00031,0.00380,0.00085,0.00011,0.00149,7.692,42.31,50.0,26,2023/05/12
The Guardian (US),0.05276,0.00033,0.00719,0.01338,0.01990,0.00138,0.01028,10.42,33.33,56.25,96,2023/05/12
The Hill,0.02212,0.00003,0.00020,0.00014,0.01754,0.00128,0.00005,5.405,32.43,62.16,37,2023/05/12
The New York Times,0.05155,0.00014,0.00127,0.00795,0.03649,0.00128,0.00012,1.852,50.0,48.15,54,2023/05/12
The Washington Post,0.02193,0.00005,0.00031,0.00266,0.00662,0.00403,0.00095,20.39,40.78,38.83,103,2023/05/12
The Washington Times,0.00490,0.00005,0.00024,0.00097,0.00063,0.00077,0.00010,9.756,36.59,53.66,41,2023/05/12
Washington Examiner,0.01448,0.00005,0.00030,0.00742,0.00090,0.00059,0.00256,17.19,40.62,42.19,64,2023/05/12
