name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.03193,0.00008,0.00058,0.01472,0.00920,0.00080,0.00325,16.0,30.0,54.0,50,2023/05/05
BBC,0.02388,0.00015,0.00121,0.00152,0.01632,0.00086,0.00021,20.83,39.58,39.58,48,2023/05/05
Fox News,0.00770,0.00007,0.00062,0.00106,0.00161,0.00026,0.00187,13.97,42.65,43.38,136,2023/05/05
New York Post,0.05584,0.00023,0.00865,0.00157,0.00650,0.00242,0.03024,6.667,31.11,62.22,45,2023/05/05
Newsmax,0.00876,0.00009,0.00059,0.00057,0.00089,0.00318,0.00020,0.00000,50.0,50.0,50,2023/05/05
Newsweek,0.04706,0.00016,0.00122,0.00263,0.01880,0.00757,0.00043,5.195,36.36,58.44,77,2023/05/05
One America News Network (OAN),0.03380,0.00009,0.00080,0.00044,0.02937,0.00024,0.00012,7.692,42.31,50.0,26,2023/05/05
The Epoch Times,0.00953,0.00018,0.00135,0.00248,0.00179,0.00095,0.00157,11.21,55.14,33.64,107,2023/05/05
The Guardian (US),0.01969,0.00016,0.00842,0.00068,0.00266,0.00032,0.00428,16.67,36.46,46.88,96,2023/05/05
The Hill,0.00635,0.00025,0.00045,0.00465,0.00151,0.00039,0.00032,2.439,53.66,43.9,41,2023/05/05
The New York Times,0.03842,0.00024,0.00137,0.00141,0.00756,0.01676,0.00310,9.615,42.31,48.08,52,2023/05/05
The Washington Post,0.02263,0.00011,0.00073,0.00977,0.00325,0.00348,0.00037,19.23,39.42,41.35,104,2023/05/05
The Washington Times,0.00474,0.00009,0.00045,0.00074,0.00216,0.00020,0.00015,7.143,28.57,64.29,42,2023/05/05
Washington Examiner,0.01030,0.00005,0.00031,0.00086,0.00158,0.00234,0.00012,8.333,35.0,56.67,60,2023/05/05
