name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
BBC,0.00773,0.00020,0.00168,0.00059,0.00410,0.00033,0.00044,17.78,57.78,24.44,45,2023/11/07
Fox News,0.02757,0.00012,0.00067,0.00670,0.00727,0.00118,0.00036,18.06,34.72,47.22,144,2023/11/07
NBC News,0.01664,0.00008,0.00039,0.01250,0.00148,0.00072,0.00024,10.91,40.0,49.09,55,2023/11/07
New York Post,0.04752,0.00019,0.00114,0.00124,0.00601,0.01385,0.01871,15.56,28.89,55.56,45,2023/11/07
Newsmax,0.02992,0.00075,0.00297,0.01996,0.01433,0.00254,0.00083,2.041,44.9,53.06,49,2023/11/07
One America News Network (OAN),0.00302,0.00004,0.00033,0.00066,0.00080,0.00007,0.00005,17.39,52.17,30.43,23,2023/11/07
Reuters,0.00061,0.00003,0.00019,0.00013,0.00028,0.00005,0.00003,0.00000,50.0,50.0,10,2023/11/07
The Epoch Times,0.00524,0.00011,0.00070,0.00206,0.00140,0.00038,0.00009,6.145,56.42,37.43,179,2023/11/07
The Hill,0.00436,0.00003,0.00020,0.00026,0.00093,0.00142,0.00004,7.143,53.57,39.29,28,2023/11/07
The Wall Street Journal,0.00163,0.00006,0.00042,0.00026,0.00063,0.00018,0.00004,15.15,54.55,30.3,66,2023/11/07
The Washington Times,0.04291,0.00021,0.00086,0.01638,0.00929,0.00316,0.00667,11.11,31.94,56.94,72,2023/11/07
Washington Examiner,0.00758,0.00004,0.00030,0.00079,0.00297,0.00036,0.00008,3.39,40.68,55.93,59,2023/11/07
