name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Fox News,0.02277,0.00009,0.00106,0.00070,0.00838,0.00086,0.00553,21.53,34.72,43.75,144,2023/11/27
NBC News,0.04894,0.00012,0.00072,0.02146,0.00589,0.00103,0.01377,18.87,30.19,50.94,53,2023/11/27
New York Post,0.04147,0.00010,0.00078,0.00174,0.02255,0.00139,0.00032,12.5,31.25,56.25,48,2023/11/27
Newsmax,0.01855,0.00014,0.00081,0.00852,0.00186,0.00287,0.00059,8.0,56.0,36.0,50,2023/11/27
One America News Network (OAN),0.04048,0.00026,0.00278,0.00393,0.00326,0.00077,0.02431,4.348,65.22,30.43,23,2023/11/27
Reuters,0.00065,0.00003,0.00017,0.00015,0.00024,0.00005,0.00003,30.0,40.0,30.0,10,2023/11/27
The Epoch Times,0.01373,0.00011,0.00085,0.00281,0.00167,0.00028,0.00505,10.06,53.07,36.87,179,2023/11/27
The Hill,0.01403,0.00003,0.00026,0.00048,0.00723,0.00010,0.00005,21.43,35.71,42.86,28,2023/11/27
The Wall Street Journal,0.01334,0.00004,0.00028,0.00042,0.00907,0.00075,0.00005,7.576,66.67,25.76,66,2023/11/27
The Washington Times,0.02486,0.00006,0.00048,0.00064,0.01589,0.00026,0.00009,10.59,43.53,45.88,85,2023/11/27
Washington Examiner,0.00627,0.00004,0.00026,0.00115,0.00094,0.00050,0.00005,9.677,40.32,50.0,62,2023/11/27
