name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
BBC,0.00861,0.00018,0.00132,0.00149,0.00403,0.00107,0.00011,13.64,54.55,31.82,44,2023/11/15
Fox News,0.02794,0.00008,0.00269,0.00284,0.00935,0.00189,0.00043,15.75,32.88,51.37,146,2023/11/15
NBC News,0.04720,0.00018,0.00697,0.00878,0.00667,0.00250,0.01407,10.17,30.51,59.32,59,2023/11/15
New York Post,0.06172,0.00010,0.00095,0.00453,0.04132,0.00035,0.00067,22.22,22.22,55.56,45,2023/11/15
Newsmax,0.00487,0.00013,0.00103,0.00047,0.00191,0.00102,0.00010,4.0,60.0,36.0,50,2023/11/15
One America News Network (OAN),0.00395,0.00008,0.00048,0.00072,0.00069,0.00018,0.00069,13.04,43.48,43.48,23,2023/11/15
Reuters,0.00377,0.00004,0.00024,0.00174,0.00060,0.00009,0.00004,0.00000,60.0,40.0,10,2023/11/15
The Epoch Times,0.00738,0.00009,0.00073,0.00283,0.00164,0.00020,0.00022,9.043,52.13,38.83,188,2023/11/15
The Hill,0.04778,0.00007,0.00047,0.00901,0.03784,0.00019,0.00013,7.143,28.57,64.29,28,2023/11/15
The Wall Street Journal,0.00683,0.00005,0.00034,0.00188,0.00123,0.00066,0.00004,13.85,61.54,24.62,65,2023/11/15
The Washington Times,0.04150,0.00007,0.00056,0.00247,0.02977,0.00021,0.00008,6.667,48.0,45.33,75,2023/11/15
Washington Examiner,0.02449,0.00005,0.00037,0.00078,0.01344,0.00077,0.00008,10.17,33.9,55.93,59,2023/11/15
