name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
BBC,0.03556,0.00037,0.00248,0.00172,0.00701,0.00224,0.01909,8.511,36.17,55.32,47,2023/11/04
Fox News,0.04192,0.00010,0.00121,0.00264,0.02060,0.00215,0.00532,18.0,39.33,42.67,150,2023/11/04
NBC News,0.04213,0.00035,0.00061,0.01798,0.00196,0.00963,0.00152,10.91,41.82,47.27,55,2023/11/04
New York Post,0.09294,0.00102,0.02071,0.00468,0.03550,0.00439,0.03031,24.44,37.78,37.78,45,2023/11/04
Newsmax,0.00961,0.00036,0.00252,0.00137,0.00366,0.00126,0.00013,8.0,50.0,42.0,50,2023/11/04
One America News Network (OAN),0.03164,0.00012,0.00055,0.00463,0.00102,0.00307,0.00782,13.04,47.83,39.13,23,2023/11/04
Reuters,0.03118,0.00009,0.00030,0.01073,0.00082,0.00639,0.00012,10.0,40.0,50.0,10,2023/11/04
The Epoch Times,0.01032,0.00013,0.00098,0.00319,0.00145,0.00151,0.00036,7.979,52.13,39.89,188,2023/11/04
The Hill,0.02670,0.00005,0.00029,0.00279,0.00647,0.00135,0.00011,11.11,29.63,59.26,27,2023/11/04
The New York Times,0.00403,0.00006,0.00045,0.00036,0.00104,0.00020,0.00006,16.98,45.28,37.74,53,2023/11/04
The Wall Street Journal,0.01206,0.00005,0.00033,0.00947,0.00237,0.00014,0.00006,15.15,63.64,21.21,66,2023/11/04
The Washington Times,0.03397,0.00010,0.00047,0.00776,0.01737,0.00035,0.00031,7.692,39.74,52.56,78,2023/11/04
Washington Examiner,0.01105,0.00006,0.00032,0.00080,0.00732,0.00061,0.00008,4.839,40.32,54.84,62,2023/11/04
