name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Fox News,0.02338,0.00010,0.00061,0.00214,0.00579,0.00471,0.00147,25.33,38.0,36.67,150,2023/11/24
NBC News,0.04212,0.00013,0.00070,0.02014,0.00420,0.00173,0.00467,14.55,27.27,58.18,55,2023/11/24
New York Post,0.01250,0.00007,0.00060,0.00066,0.00111,0.00204,0.00134,27.08,35.42,37.5,48,2023/11/24
Newsmax,0.02341,0.00028,0.00182,0.00260,0.00556,0.00304,0.00069,6.0,46.0,48.0,50,2023/11/24
One America News Network (OAN),0.04045,0.00036,0.00357,0.00409,0.00330,0.00048,0.02789,8.696,56.52,34.78,23,2023/11/24
Reuters,0.02776,0.00012,0.00054,0.00250,0.00092,0.00483,0.00051,0.00000,50.0,50.0,10,2023/11/24
The Epoch Times,0.00744,0.00015,0.00103,0.00150,0.00252,0.00091,0.00093,13.41,51.96,34.64,179,2023/11/24
The Hill,0.03044,0.00005,0.00037,0.00161,0.00706,0.00275,0.00023,11.54,23.08,65.38,26,2023/11/24
The New York Times,0.00842,0.00006,0.00046,0.00154,0.00369,0.00019,0.00005,11.11,51.11,37.78,45,2023/11/24
The Wall Street Journal,0.00613,0.00005,0.00054,0.00020,0.00093,0.00024,0.00082,16.42,58.21,25.37,67,2023/11/24
The Washington Times,0.01830,0.00014,0.00066,0.00785,0.00403,0.00115,0.00042,9.091,44.16,46.75,77,2023/11/24
Washington Examiner,0.00461,0.00004,0.00028,0.00107,0.00093,0.00027,0.00111,16.95,30.51,52.54,59,2023/11/24
