name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
BBC,0.01524,0.00009,0.00063,0.00098,0.00196,0.00314,0.00127,10.64,38.3,51.06,47,2023/07/21
Fox News,0.06498,0.00025,0.01680,0.00657,0.02254,0.00120,0.00729,13.74,42.75,43.51,131,2023/07/21
NBC News,0.03870,0.00016,0.00076,0.01347,0.01195,0.00074,0.00590,14.29,40.0,45.71,70,2023/07/21
New York Post,0.14199,0.00037,0.02539,0.00149,0.07215,0.00056,0.02349,9.615,28.85,61.54,52,2023/07/21
Newsweek,0.01966,0.00014,0.00086,0.01075,0.00634,0.00068,0.00041,13.51,52.7,33.78,74,2023/07/21
One America News Network (OAN),0.00952,0.00022,0.00091,0.00373,0.00247,0.00047,0.00029,12.5,45.83,41.67,24,2023/07/21
Reuters,0.00066,0.00003,0.00017,0.00018,0.00020,0.00006,0.00003,30.0,50.0,20.0,10,2023/07/21
The Epoch Times,0.00418,0.00017,0.00122,0.00161,0.00204,0.00019,0.00012,12.38,49.52,38.1,105,2023/07/21
The Hill,0.03988,0.00006,0.00032,0.00036,0.01930,0.00913,0.00008,4.878,41.46,53.66,41,2023/07/21
The New York Times,0.01675,0.00018,0.00101,0.00678,0.00458,0.00050,0.00044,8.772,47.37,43.86,57,2023/07/21
The Wall Street Journal,0.00199,0.00004,0.00032,0.00028,0.00076,0.00009,0.00005,18.46,56.92,24.62,65,2023/07/21
The Washington Post,0.01944,0.00006,0.00044,0.00668,0.00820,0.00035,0.00045,15.62,33.33,51.04,96,2023/07/21
The Washington Times,0.03818,0.00007,0.00059,0.01128,0.01842,0.00187,0.00016,10.26,53.85,35.9,78,2023/07/21
Washington Examiner,0.01715,0.00007,0.00229,0.00057,0.00230,0.00518,0.00023,9.524,36.51,53.97,63,2023/07/21
