name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
BBC,0.00679,0.00009,0.00056,0.00297,0.00176,0.00049,0.00014,16.67,35.42,47.92,48,2023/07/22
Fox News,0.05864,0.00021,0.00864,0.00413,0.02939,0.00098,0.00814,15.91,30.3,53.79,132,2023/07/22
NBC News,0.06032,0.00025,0.00117,0.02771,0.01448,0.00759,0.00113,13.24,35.29,51.47,68,2023/07/22
New York Post,0.04295,0.00009,0.00138,0.00038,0.02595,0.00606,0.00095,22.45,24.49,53.06,49,2023/07/22
Newsmax,0.04699,0.00026,0.00168,0.01960,0.00798,0.01350,0.00075,0.00000,44.0,56.0,50,2023/07/22
Newsweek,0.03922,0.00020,0.00107,0.00329,0.01648,0.01327,0.00025,13.7,47.95,38.36,73,2023/07/22
One America News Network (OAN),0.01945,0.00037,0.00184,0.00211,0.00300,0.00155,0.00783,16.67,45.83,37.5,24,2023/07/22
Reuters,0.03734,0.00007,0.00058,0.00712,0.01463,0.00120,0.00013,0.00000,40.0,60.0,10,2023/07/22
The Epoch Times,0.01498,0.00024,0.00161,0.00425,0.00226,0.00234,0.00189,9.0,57.0,34.0,100,2023/07/22
The Hill,0.05078,0.00010,0.00079,0.01280,0.01018,0.00516,0.00369,4.255,40.43,55.32,47,2023/07/22
The New York Times,0.03057,0.00029,0.00171,0.00066,0.01521,0.00033,0.01277,11.48,60.66,27.87,61,2023/07/22
The Wall Street Journal,0.00122,0.00004,0.00026,0.00019,0.00041,0.00009,0.00005,10.77,67.69,21.54,65,2023/07/22
The Washington Post,0.03518,0.00015,0.00076,0.01126,0.02111,0.00072,0.00023,16.67,45.83,37.5,96,2023/07/22
The Washington Times,0.03904,0.00011,0.00070,0.01258,0.02036,0.00041,0.00446,11.69,48.05,40.26,77,2023/07/22
Washington Examiner,0.02523,0.00007,0.00037,0.00172,0.01325,0.00506,0.00015,4.688,46.88,48.44,64,2023/07/22
