name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
BBC,0.01324,0.00012,0.00105,0.00067,0.00829,0.00068,0.00013,11.11,46.67,42.22,45,2023/07/10
Fox News,0.03890,0.00012,0.00462,0.00167,0.01203,0.00203,0.00656,16.0,30.67,53.33,150,2023/07/10
NBC News,0.02887,0.00010,0.00052,0.01224,0.00600,0.00271,0.00711,9.722,30.56,59.72,72,2023/07/10
New York Post,0.04324,0.00016,0.01251,0.00587,0.00819,0.00041,0.00159,13.33,24.44,62.22,45,2023/07/10
Newsmax,0.04233,0.00016,0.00092,0.00406,0.00893,0.01695,0.00017,4.0,54.0,42.0,50,2023/07/10
Newsweek,0.03980,0.00022,0.00102,0.02052,0.00559,0.00381,0.00079,12.86,41.43,45.71,70,2023/07/10
One America News Network (OAN),0.05624,0.00026,0.00127,0.00962,0.03655,0.00111,0.00650,8.333,37.5,54.17,24,2023/07/10
Reuters,0.00382,0.00004,0.00027,0.00015,0.00103,0.00040,0.00005,0.00000,60.0,40.0,10,2023/07/10
The Epoch Times,0.00354,0.00024,0.00168,0.00069,0.00155,0.00072,0.00017,8.411,57.94,33.64,107,2023/07/10
The Hill,0.03039,0.00003,0.00029,0.00027,0.02455,0.00029,0.00006,2.381,35.71,61.9,42,2023/07/10
The New York Times,0.01582,0.00012,0.00096,0.00103,0.00947,0.00017,0.00009,4.444,66.67,28.89,45,2023/07/10
The Wall Street Journal,0.00114,0.00004,0.00023,0.00023,0.00031,0.00009,0.00003,9.231,56.92,33.85,65,2023/07/10
The Washington Post,0.02148,0.00012,0.00049,0.00802,0.00807,0.00067,0.00023,14.85,30.69,54.46,101,2023/07/10
The Washington Times,0.04082,0.00009,0.00066,0.00481,0.01902,0.00061,0.00956,14.29,50.0,35.71,70,2023/07/10
Washington Examiner,0.02408,0.00003,0.00024,0.00066,0.01650,0.00048,0.00005,5.085,40.68,54.24,59,2023/07/10
