name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
BBC,0.00345,0.00015,0.00147,0.00061,0.00164,0.00027,0.00015,21.28,36.17,42.55,47,2023/07/09
Fox News,0.02618,0.00010,0.00059,0.00444,0.00702,0.00134,0.00534,13.19,38.19,48.61,144,2023/07/09
NBC News,0.02972,0.00010,0.00120,0.01517,0.00597,0.00085,0.00031,14.29,30.0,55.71,70,2023/07/09
New York Post,0.07982,0.00024,0.01092,0.00432,0.01207,0.00364,0.03066,17.78,28.89,53.33,45,2023/07/09
Newsmax,0.01353,0.00011,0.00068,0.00194,0.00089,0.00508,0.00020,10.0,48.0,42.0,50,2023/07/09
Newsweek,0.03436,0.00022,0.00100,0.01975,0.00947,0.00117,0.00085,12.86,52.86,34.29,70,2023/07/09
One America News Network (OAN),0.01854,0.00023,0.00099,0.00923,0.00615,0.00051,0.00032,12.5,37.5,50.0,24,2023/07/09
Reuters,0.00560,0.00004,0.00019,0.00149,0.00037,0.00061,0.00004,40.0,20.0,40.0,10,2023/07/09
The Epoch Times,0.00882,0.00026,0.00193,0.00069,0.00296,0.00256,0.00020,8.411,57.01,34.58,107,2023/07/09
The Hill,0.00945,0.00008,0.00028,0.00041,0.00173,0.00262,0.00011,9.524,40.48,50.0,42,2023/07/09
The New York Times,0.00708,0.00014,0.00133,0.00097,0.00154,0.00047,0.00030,17.78,48.89,33.33,45,2023/07/09
The Wall Street Journal,0.00191,0.00005,0.00034,0.00037,0.00054,0.00029,0.00005,7.692,58.46,33.85,65,2023/07/09
The Washington Post,0.01971,0.00009,0.00050,0.00536,0.00714,0.00048,0.00023,13.04,40.22,46.74,92,2023/07/09
The Washington Times,0.05427,0.00018,0.00069,0.02156,0.01677,0.00069,0.00878,6.579,47.37,46.05,76,2023/07/09
Washington Examiner,0.00424,0.00006,0.00040,0.00042,0.00177,0.00023,0.00007,10.77,49.23,40.0,65,2023/07/09
