name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
BBC,0.00633,0.00009,0.00061,0.00054,0.00441,0.00026,0.00010,14.58,45.83,39.58,48,2023/07/23
Fox News,0.05974,0.00024,0.00582,0.00438,0.01427,0.00781,0.01303,12.86,32.86,54.29,140,2023/07/23
NBC News,0.03882,0.00025,0.00098,0.02047,0.01015,0.00045,0.00104,15.49,29.58,54.93,71,2023/07/23
New York Post,0.05926,0.00012,0.00206,0.00139,0.01884,0.00123,0.01551,16.33,24.49,59.18,49,2023/07/23
Newsmax,0.03600,0.00015,0.00086,0.00674,0.01426,0.00321,0.00026,4.0,48.0,48.0,50,2023/07/23
Newsweek,0.02643,0.00015,0.00095,0.00117,0.01513,0.00245,0.00021,9.589,53.42,36.99,73,2023/07/23
One America News Network (OAN),0.01149,0.00032,0.00172,0.00128,0.00298,0.00136,0.00224,16.67,45.83,37.5,24,2023/07/23
Reuters,0.02388,0.00009,0.00066,0.01314,0.00150,0.00123,0.00024,0.00000,30.0,70.0,10,2023/07/23
The Epoch Times,0.01871,0.00019,0.00402,0.00559,0.00316,0.00031,0.00441,9.0,52.0,39.0,100,2023/07/23
The Hill,0.00672,0.00008,0.00032,0.00072,0.00215,0.00148,0.00009,4.762,30.95,64.29,42,2023/07/23
The New York Times,0.03551,0.00016,0.00113,0.00237,0.01603,0.00061,0.00884,12.5,48.21,39.29,56,2023/07/23
The Wall Street Journal,0.00496,0.00007,0.00044,0.00030,0.00054,0.00022,0.00256,7.692,66.15,26.15,65,2023/07/23
The Washington Post,0.03608,0.00022,0.00116,0.01522,0.01397,0.00197,0.00097,22.55,34.31,43.14,102,2023/07/23
The Washington Times,0.06075,0.00014,0.00065,0.02023,0.02078,0.00778,0.00381,11.84,48.68,39.47,76,2023/07/23
Washington Examiner,0.00854,0.00007,0.00029,0.00050,0.00088,0.00463,0.00008,6.154,49.23,44.62,65,2023/07/23
