name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
BBC,0.02217,0.00018,0.00134,0.00219,0.00422,0.00661,0.00034,16.67,41.67,41.67,48,2023/10/14
Fox News,0.01965,0.00010,0.00058,0.00436,0.00401,0.00055,0.00128,23.53,35.29,41.18,153,2023/10/14
NBC News,0.04074,0.00014,0.00058,0.02899,0.00413,0.00235,0.00027,20.34,30.51,49.15,59,2023/10/14
New York Post,0.06455,0.00023,0.00307,0.01078,0.00672,0.00064,0.02770,13.33,37.78,48.89,45,2023/10/14
Newsmax,0.01929,0.00021,0.00189,0.00461,0.00263,0.00218,0.00065,2.0,50.0,48.0,50,2023/10/14
One America News Network (OAN),0.00494,0.00008,0.00067,0.00138,0.00106,0.00013,0.00009,8.696,52.17,39.13,23,2023/10/14
Reuters,0.09029,0.00069,0.00110,0.08035,0.00792,0.00349,0.00038,0.00000,10.0,90.0,10,2023/10/14
The Epoch Times,0.00865,0.00013,0.00106,0.00168,0.00280,0.00044,0.00016,4.712,57.07,38.22,191,2023/10/14
The Hill,0.01646,0.00004,0.00023,0.00038,0.00545,0.00181,0.00009,7.692,30.77,61.54,26,2023/10/14
The New York Times,0.02928,0.00011,0.00082,0.00489,0.00608,0.00137,0.01007,8.929,58.93,32.14,56,2023/10/14
The Wall Street Journal,0.01894,0.00016,0.00182,0.00348,0.00259,0.00020,0.00794,13.24,61.76,25.0,68,2023/10/14
The Washington Times,0.04325,0.00016,0.00064,0.01010,0.02004,0.00134,0.00013,6.098,48.78,45.12,82,2023/10/14
Washington Examiner,0.05951,0.00012,0.00080,0.01708,0.02021,0.00437,0.00024,1.852,42.59,55.56,54,2023/10/14
