name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
NBC News,0.02477,0.00012,0.00175,0.01333,0.00418,0.00027,0.00208,18.52,44.44,37.04,54,2023/10/17
Newsmax,0.01111,0.00012,0.00067,0.00633,0.00099,0.00088,0.00016,2.0,44.0,54.0,50,2023/10/17
One America News Network (OAN),0.01264,0.00037,0.00238,0.00122,0.00212,0.00582,0.00016,8.696,60.87,30.43,23,2023/10/17
The Epoch Times,0.01287,0.00014,0.00072,0.00431,0.00257,0.00293,0.00048,10.11,60.11,29.79,188,2023/10/17
The Hill,0.00288,0.00004,0.00026,0.00031,0.00175,0.00009,0.00004,11.54,42.31,46.15,26,2023/10/17
The Wall Street Journal,0.01596,0.00008,0.00060,0.00962,0.00136,0.00041,0.00031,16.18,58.82,25.0,68,2023/10/17
The Washington Times,0.00730,0.00010,0.00046,0.00296,0.00192,0.00019,0.00007,9.333,58.67,32.0,75,2023/10/17
