name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.04998,0.00018,0.00064,0.04330,0.00369,0.00304,0.00080,14.0,26.0,60.0,50,2023/06/16
BBC,0.01573,0.00006,0.00061,0.00187,0.00744,0.00033,0.00013,14.58,54.17,31.25,48,2023/06/16
Fox News,0.03611,0.00013,0.00561,0.00343,0.00681,0.00352,0.00494,9.722,35.42,54.86,144,2023/06/16
NBC News,0.03203,0.00030,0.00082,0.02185,0.00315,0.00095,0.00650,15.38,35.38,49.23,65,2023/06/16
New York Post,0.04388,0.00015,0.00484,0.00105,0.00829,0.00203,0.01557,24.44,22.22,53.33,45,2023/06/16
Newsmax,0.00389,0.00024,0.00189,0.00111,0.00176,0.00033,0.00043,0.00000,56.0,44.0,50,2023/06/16
Newsweek,0.01089,0.00010,0.00077,0.00075,0.00249,0.00219,0.00020,14.08,39.44,46.48,71,2023/06/16
One America News Network (OAN),0.00910,0.00008,0.00048,0.00119,0.00086,0.00062,0.00111,26.09,47.83,26.09,23,2023/06/16
Reuters,0.00213,0.00004,0.00026,0.00084,0.00047,0.00012,0.00005,15.22,45.65,39.13,46,2023/06/16
The Epoch Times,0.01451,0.00009,0.00068,0.00098,0.00572,0.00297,0.00033,8.738,45.63,45.63,103,2023/06/16
The Guardian (US),0.03049,0.00010,0.00231,0.00675,0.01067,0.00172,0.00450,13.4,31.96,54.64,97,2023/06/16
The Hill,0.08908,0.00044,0.04906,0.00039,0.05589,0.00022,0.01567,7.5,32.5,60.0,40,2023/06/16
The Wall Street Journal,0.01487,0.00008,0.00075,0.00033,0.01248,0.00031,0.00009,18.18,48.48,33.33,66,2023/06/16
The Washington Post,0.02716,0.00007,0.00041,0.00970,0.00910,0.00091,0.00055,16.67,39.58,43.75,96,2023/06/16
The Washington Times,0.01400,0.00013,0.00197,0.00194,0.00190,0.00034,0.00565,7.143,54.29,38.57,70,2023/06/16
Washington Examiner,0.04486,0.00005,0.00046,0.01533,0.03208,0.00020,0.00172,10.71,30.36,58.93,56,2023/06/16
