name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.06302,0.00019,0.00064,0.05197,0.01509,0.00129,0.00040,12.0,30.0,58.0,50,2023/06/03
BBC,0.02310,0.00008,0.00069,0.00464,0.01268,0.00025,0.00022,23.4,44.68,31.91,47,2023/06/03
Fox News,0.03909,0.00013,0.01454,0.00214,0.00940,0.00158,0.00481,9.929,31.21,58.87,141,2023/06/03
NBC News,0.02463,0.00010,0.00038,0.00838,0.00195,0.00490,0.00051,13.85,26.15,60.0,65,2023/06/03
New York Post,0.07865,0.00054,0.02934,0.00573,0.03377,0.00062,0.00707,20.0,22.22,57.78,45,2023/06/03
Newsmax,0.01908,0.00008,0.00048,0.01410,0.00458,0.00026,0.00021,6.0,42.0,52.0,50,2023/06/03
Newsweek,0.02705,0.00015,0.00123,0.00285,0.00454,0.01188,0.00022,15.71,35.71,48.57,70,2023/06/03
One America News Network (OAN),0.00091,0.00004,0.00024,0.00018,0.00033,0.00008,0.00004,7.692,46.15,46.15,26,2023/06/03
Reuters,0.02899,0.00008,0.00059,0.00082,0.01906,0.00257,0.00044,6.897,37.93,55.17,29,2023/06/03
The Epoch Times,0.00243,0.00027,0.00190,0.00133,0.00193,0.00025,0.00017,13.86,59.41,26.73,101,2023/06/03
The Guardian (US),0.04036,0.00029,0.00184,0.00343,0.00544,0.00566,0.01916,13.4,36.08,50.52,97,2023/06/03
The Hill,0.00686,0.00004,0.00029,0.00035,0.00382,0.00046,0.00006,11.36,29.55,59.09,44,2023/06/03
The New York Times,0.02028,0.00017,0.00260,0.00462,0.00423,0.00083,0.00253,12.5,57.81,29.69,64,2023/06/03
The Wall Street Journal,0.01109,0.00004,0.00035,0.00048,0.00553,0.00017,0.00007,22.39,49.25,28.36,67,2023/06/03
The Washington Post,0.02563,0.00011,0.00123,0.00318,0.00329,0.00027,0.01203,13.33,43.33,43.33,90,2023/06/03
The Washington Times,0.01089,0.00006,0.00034,0.00277,0.00097,0.00116,0.00213,10.67,41.33,48.0,75,2023/06/03
Washington Examiner,0.03066,0.00005,0.00043,0.00037,0.02288,0.00137,0.00022,7.812,50.0,42.19,64,2023/06/03
