name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.07182,0.00036,0.01703,0.05349,0.00520,0.00105,0.00063,8.0,32.0,60.0,50,2023/06/08
BBC,0.02077,0.00022,0.00143,0.00982,0.00442,0.00127,0.00038,10.64,51.06,38.3,47,2023/06/08
Fox News,0.04780,0.00014,0.00165,0.00441,0.02369,0.00365,0.00597,15.28,30.56,54.17,144,2023/06/08
NBC News,0.03738,0.00009,0.00042,0.02462,0.00406,0.00055,0.00040,8.065,25.81,66.13,62,2023/06/08
New York Post,0.10220,0.00028,0.00774,0.00098,0.02500,0.01858,0.01450,20.0,33.33,46.67,45,2023/06/08
Newsmax,0.00674,0.00016,0.00109,0.00119,0.00158,0.00237,0.00012,7.843,41.18,50.98,51,2023/06/08
Newsweek,0.01455,0.00009,0.00078,0.00068,0.00390,0.00040,0.00189,10.29,45.59,44.12,68,2023/06/08
One America News Network (OAN),0.00872,0.00009,0.00068,0.00032,0.00081,0.00042,0.00400,30.77,38.46,30.77,26,2023/06/08
Reuters,0.01243,0.00012,0.00056,0.01287,0.00130,0.00028,0.00023,19.51,31.71,48.78,41,2023/06/08
The Epoch Times,0.00221,0.00019,0.00122,0.00047,0.00127,0.00052,0.00010,17.48,46.6,35.92,103,2023/06/08
The Guardian (US),0.03176,0.00024,0.00225,0.00602,0.00832,0.00032,0.01226,15.62,27.08,57.29,96,2023/06/08
The Hill,0.02327,0.00004,0.00035,0.00054,0.01530,0.00019,0.00021,8.108,35.14,56.76,37,2023/06/08
The New York Times,0.04375,0.00013,0.00128,0.00083,0.03428,0.00085,0.00019,10.53,50.88,38.6,57,2023/06/08
The Wall Street Journal,0.02190,0.00014,0.00116,0.00230,0.00336,0.00256,0.00029,15.15,56.06,28.79,66,2023/06/08
The Washington Post,0.02342,0.00007,0.00061,0.00578,0.00486,0.00135,0.00331,15.31,33.67,51.02,98,2023/06/08
The Washington Times,0.00927,0.00007,0.00039,0.00139,0.00213,0.00026,0.00188,6.579,53.95,39.47,76,2023/06/08
Washington Examiner,0.02275,0.00005,0.00031,0.00335,0.00926,0.00055,0.00102,5.0,28.33,66.67,60,2023/06/08
