name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.06458,0.00016,0.00053,0.05656,0.01027,0.00275,0.00031,6.0,38.0,56.0,50,2023/06/14
BBC,0.01806,0.00005,0.00044,0.00037,0.01319,0.00059,0.00018,6.25,47.92,45.83,48,2023/06/14
Fox News,0.02678,0.00010,0.00052,0.00443,0.00390,0.00630,0.00150,11.89,33.57,54.55,143,2023/06/14
NBC News,0.03063,0.00009,0.00051,0.02040,0.00378,0.00055,0.00020,12.9,32.26,54.84,62,2023/06/14
New York Post,0.05700,0.00013,0.00218,0.00046,0.01948,0.01244,0.00906,20.0,28.89,51.11,45,2023/06/14
Newsmax,0.01512,0.00015,0.00109,0.00060,0.00862,0.00113,0.00010,6.0,42.0,52.0,50,2023/06/14
Newsweek,0.03484,0.00015,0.00095,0.00990,0.00901,0.00078,0.00877,16.9,43.66,39.44,71,2023/06/14
One America News Network (OAN),0.00569,0.00009,0.00268,0.00052,0.00102,0.00025,0.00056,13.04,39.13,47.83,23,2023/06/14
Reuters,0.01042,0.00015,0.00158,0.00135,0.00288,0.00055,0.00010,12.2,36.59,51.22,41,2023/06/14
The Epoch Times,0.00880,0.00017,0.00115,0.00235,0.00232,0.00024,0.00325,10.42,58.33,31.25,96,2023/06/14
The Guardian (US),0.03228,0.00008,0.00097,0.00170,0.01401,0.00227,0.00520,13.27,42.86,43.88,98,2023/06/14
The Hill,0.02163,0.00004,0.00036,0.00212,0.01472,0.00020,0.00010,8.108,32.43,59.46,37,2023/06/14
The New York Times,0.02414,0.00011,0.00081,0.00125,0.00951,0.00667,0.00009,16.39,52.46,31.15,61,2023/06/14
The Wall Street Journal,0.00355,0.00004,0.00029,0.00029,0.00131,0.00049,0.00005,13.85,53.85,32.31,65,2023/06/14
The Washington Post,0.01542,0.00007,0.00470,0.00296,0.00281,0.00055,0.00017,11.34,42.27,46.39,97,2023/06/14
The Washington Times,0.04101,0.00041,0.00111,0.03015,0.01582,0.00367,0.00183,5.063,45.57,49.37,79,2023/06/14
Washington Examiner,0.02294,0.00005,0.00035,0.01013,0.00276,0.00393,0.00011,1.754,40.35,57.89,57,2023/06/14
