name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.04163,0.00016,0.00060,0.04140,0.00345,0.00085,0.00058,12.5,35.42,52.08,48,2023/06/06
BBC,0.03748,0.00029,0.00145,0.01519,0.00599,0.00062,0.01864,10.42,41.67,47.92,48,2023/06/06
Fox News,0.02720,0.00014,0.00594,0.00977,0.00444,0.00230,0.00043,7.194,33.81,58.99,139,2023/06/06
NBC News,0.01252,0.00006,0.00039,0.01073,0.00121,0.00018,0.00024,9.836,37.7,52.46,61,2023/06/06
New York Post,0.11538,0.00405,0.03471,0.02232,0.05400,0.03136,0.02090,15.56,31.11,53.33,45,2023/06/06
Newsmax,0.01387,0.00014,0.00099,0.00354,0.00138,0.00363,0.00010,3.922,45.1,50.98,51,2023/06/06
Newsweek,0.02232,0.00009,0.00102,0.00142,0.00923,0.00054,0.00059,4.286,48.57,47.14,70,2023/06/06
One America News Network (OAN),0.01399,0.00005,0.00042,0.00140,0.00201,0.00024,0.00310,15.38,50.0,34.62,26,2023/06/06
Reuters,0.01259,0.00007,0.00055,0.00085,0.00772,0.00049,0.00007,12.2,43.9,43.9,41,2023/06/06
The Epoch Times,0.01117,0.00018,0.00144,0.00205,0.00162,0.00181,0.00192,9.091,52.53,38.38,99,2023/06/06
The Guardian (US),0.04146,0.00034,0.00319,0.01038,0.01428,0.00168,0.01139,8.511,42.55,48.94,94,2023/06/06
The Hill,0.05666,0.00006,0.00036,0.00695,0.04440,0.00020,0.00016,17.95,33.33,48.72,39,2023/06/06
The New York Times,0.01091,0.00012,0.00106,0.00047,0.00474,0.00030,0.00101,13.46,53.85,32.69,52,2023/06/06
The Wall Street Journal,0.00359,0.00004,0.00032,0.00165,0.00079,0.00030,0.00006,7.692,66.15,26.15,65,2023/06/06
The Washington Post,0.02254,0.00007,0.00057,0.00201,0.01070,0.00200,0.00201,10.2,41.84,47.96,98,2023/06/06
The Washington Times,0.00966,0.00008,0.00057,0.00352,0.00396,0.00020,0.00012,6.944,44.44,48.61,72,2023/06/06
Washington Examiner,0.01974,0.00010,0.00077,0.00041,0.01142,0.00032,0.00139,8.065,41.94,50.0,62,2023/06/06
