name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.06222,0.00033,0.00106,0.05185,0.00417,0.00228,0.00644,14.0,36.0,50.0,50,2023/06/11
BBC,0.01547,0.00025,0.00170,0.00953,0.00239,0.00088,0.00073,14.58,33.33,52.08,48,2023/06/11
Fox News,0.04020,0.00009,0.00115,0.00376,0.02358,0.00045,0.00280,15.0,31.43,53.57,140,2023/06/11
NBC News,0.04708,0.00010,0.00043,0.01445,0.00625,0.00073,0.00774,12.31,29.23,58.46,65,2023/06/11
New York Post,0.08248,0.00026,0.00495,0.00551,0.01275,0.00315,0.03343,13.33,31.11,55.56,45,2023/06/11
Newsweek,0.02413,0.00012,0.00572,0.00066,0.00646,0.00231,0.00019,8.571,41.43,50.0,70,2023/06/11
One America News Network (OAN),0.00184,0.00004,0.00025,0.00020,0.00052,0.00017,0.00006,17.39,43.48,39.13,23,2023/06/11
Reuters,0.00556,0.00005,0.00032,0.00129,0.00085,0.00079,0.00008,16.13,48.39,35.48,31,2023/06/11
The Epoch Times,0.01829,0.00043,0.00355,0.00389,0.00795,0.00035,0.00907,8.333,55.21,36.46,96,2023/06/11
The Guardian (US),0.01562,0.00010,0.00060,0.00232,0.00297,0.00214,0.00194,12.63,34.74,52.63,95,2023/06/11
The Hill,0.02334,0.00006,0.00048,0.00035,0.00285,0.01008,0.00009,7.5,25.0,67.5,40,2023/06/11
The New York Times,0.03108,0.00020,0.00131,0.00084,0.00369,0.01584,0.00022,11.32,52.83,35.85,53,2023/06/11
The Wall Street Journal,0.01551,0.00006,0.00057,0.00026,0.01273,0.00023,0.00006,12.31,53.85,33.85,65,2023/06/11
The Washington Post,0.01490,0.00006,0.00057,0.00052,0.00976,0.00104,0.00010,13.48,44.94,41.57,89,2023/06/11
The Washington Times,0.03412,0.00045,0.00149,0.01694,0.01346,0.00214,0.00471,9.859,42.25,47.89,71,2023/06/11
Washington Examiner,0.03646,0.00012,0.01324,0.00332,0.01101,0.00043,0.00029,6.897,46.55,46.55,58,2023/06/11
