name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.00962,0.00007,0.00044,0.00134,0.00098,0.00037,0.00013,50,2022/11/07
BBC,0.00433,0.00017,0.00099,0.00037,0.00159,0.00180,0.00022,45,2022/11/07
Fox News,0.01351,0.00006,0.00355,0.00083,0.00278,0.00040,0.00132,164,2022/11/07
NBC News,0.04155,0.00018,0.00071,0.02350,0.00543,0.00541,0.00063,66,2022/11/07
New York Post,0.06847,0.00035,0.00613,0.02196,0.00775,0.00928,0.00298,40,2022/11/07
Newsmax,0.01898,0.00017,0.00129,0.00371,0.01650,0.00033,0.00009,50,2022/11/07
Newsweek,0.03412,0.00010,0.00066,0.00791,0.01340,0.00346,0.00036,84,2022/11/07
One America News Network (OAN),0.00480,0.00023,0.00160,0.00073,0.00343,0.00050,0.00140,36,2022/11/07
Reuters,0.02007,0.00006,0.00039,0.00030,0.00793,0.00018,0.00844,37,2022/11/07
The Epoch Times,0.00246,0.00012,0.00092,0.00047,0.00136,0.00019,0.00009,97,2022/11/07
The Guardian (US),0.01493,0.00007,0.00070,0.00069,0.00499,0.00160,0.00226,97,2022/11/07
The Hill,0.01403,0.00004,0.00029,0.00022,0.00387,0.00373,0.00013,44,2022/11/07
The New York Times,0.01206,0.00006,0.00043,0.00232,0.00438,0.00026,0.00151,67,2022/11/07
The Wall Street Journal,0.00289,0.00007,0.00052,0.00054,0.00114,0.00025,0.00005,67,2022/11/07
The Washington Post,0.00468,0.00003,0.00024,0.00019,0.00209,0.00040,0.00006,109,2022/11/07
The Washington Times,0.06850,0.00006,0.00068,0.00492,0.05652,0.00016,0.00017,37,2022/11/07
Washington Examiner,0.00929,0.00004,0.00034,0.00075,0.00320,0.00086,0.00015,64,2022/11/07
