name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.05704,0.00017,0.00136,0.01198,0.01229,0.01724,0.00037,12.24,30.61,57.14,49,2023/04/07
BBC,0.00945,0.00013,0.00072,0.00447,0.00171,0.00135,0.00029,8.889,51.11,40.0,45,2023/04/07
Fox News,0.02409,0.00009,0.00072,0.00415,0.00432,0.00438,0.00086,13.77,39.86,46.38,138,2023/04/07
NBC News,0.03884,0.00019,0.00057,0.02106,0.00276,0.00339,0.00065,4.615,38.46,56.92,65,2023/04/07
New York Post,0.04357,0.00009,0.00263,0.00131,0.01258,0.00134,0.00271,16.67,35.71,47.62,42,2023/04/07
Newsmax,0.02341,0.00020,0.00147,0.01776,0.00212,0.00285,0.00017,0.00000,44.0,56.0,50,2023/04/07
Newsweek,0.03260,0.00007,0.00141,0.00071,0.01224,0.00023,0.00006,0.00000,40.0,60.0,30,2023/04/07
One America News Network (OAN),0.00342,0.00018,0.00145,0.00046,0.00225,0.00020,0.00020,14.29,46.43,39.29,28,2023/04/07
Reuters,0.00791,0.00007,0.00047,0.00412,0.00120,0.00033,0.00006,7.692,48.72,43.59,39,2023/04/07
The Epoch Times,0.00622,0.00024,0.00176,0.00105,0.00237,0.00214,0.00017,13.68,53.68,32.63,95,2023/04/07
The Guardian (US),0.02009,0.00004,0.00033,0.00063,0.01524,0.00056,0.00015,14.43,32.99,52.58,97,2023/04/07
The Hill,0.04797,0.00007,0.00042,0.03406,0.00423,0.00144,0.00021,2.564,23.08,74.36,39,2023/04/07
The New York Times,0.01987,0.00010,0.00132,0.00044,0.00618,0.00190,0.00022,16.39,34.43,49.18,61,2023/04/07
The Wall Street Journal,0.00434,0.00004,0.00028,0.00173,0.00058,0.00026,0.00005,15.15,53.03,31.82,66,2023/04/07
The Washington Post,0.02909,0.00010,0.00050,0.00752,0.00282,0.00651,0.00776,9.184,41.84,48.98,98,2023/04/07
The Washington Times,0.03608,0.00015,0.00059,0.01893,0.00366,0.00103,0.00025,7.692,23.08,69.23,39,2023/04/07
Washington Examiner,0.02636,0.00008,0.00051,0.01350,0.00415,0.00098,0.00016,6.154,27.69,66.15,65,2023/04/07
