name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
BBC,0.00987,0.00025,0.00172,0.00213,0.00370,0.00154,0.00028,15.56,40.0,44.44,45,2023/09/28
Fox News,0.01940,0.00006,0.00135,0.00175,0.00854,0.00068,0.00030,15.6,39.72,44.68,141,2023/09/28
NBC News,0.01107,0.00006,0.00036,0.00664,0.00261,0.00013,0.00010,10.96,43.84,45.21,73,2023/09/28
New York Post,0.10452,0.00018,0.01778,0.00673,0.06061,0.00054,0.00609,16.33,32.65,51.02,49,2023/09/28
Newsmax,0.00274,0.00007,0.00052,0.00036,0.00117,0.00023,0.00005,2.0,42.0,56.0,50,2023/09/28
Newsweek,0.03344,0.00010,0.00096,0.00107,0.01548,0.00099,0.00741,5.0,56.25,38.75,80,2023/09/28
One America News Network (OAN),0.00151,0.00005,0.00045,0.00026,0.00070,0.00009,0.00005,4.348,52.17,43.48,23,2023/09/28
Reuters,0.00466,0.00008,0.00038,0.00020,0.00184,0.00032,0.00023,10.0,80.0,10.0,10,2023/09/28
The Epoch Times,0.00550,0.00013,0.00104,0.00108,0.00204,0.00030,0.00057,5.376,61.29,33.33,186,2023/09/28
The Hill,0.02765,0.00003,0.00033,0.00016,0.02479,0.00010,0.00006,8.824,41.18,50.0,34,2023/09/28
The New York Times,0.04596,0.00009,0.00079,0.00304,0.02052,0.00353,0.00029,6.897,55.17,37.93,58,2023/09/28
The Wall Street Journal,0.00942,0.00005,0.00042,0.00156,0.00066,0.00102,0.00368,4.545,62.12,33.33,66,2023/09/28
The Washington Times,0.01126,0.00010,0.00069,0.00112,0.00197,0.00216,0.00013,7.5,51.25,41.25,80,2023/09/28
Washington Examiner,0.00672,0.00009,0.00041,0.00038,0.00407,0.00044,0.00014,9.677,38.71,51.61,62,2023/09/28
