name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
BBC,0.02340,0.00012,0.00104,0.00182,0.00999,0.00105,0.00019,14.89,53.19,31.91,47,2023/09/17
Fox News,0.02443,0.00011,0.00245,0.00158,0.00285,0.00406,0.00751,13.79,35.86,50.34,145,2023/09/17
NBC News,0.04329,0.00009,0.00044,0.02312,0.00508,0.00704,0.00072,13.24,33.82,52.94,68,2023/09/17
New York Post,0.05730,0.00271,0.04031,0.00343,0.02689,0.00796,0.02427,16.33,30.61,53.06,49,2023/09/17
Newsmax,0.02346,0.00016,0.00123,0.00797,0.01121,0.00237,0.00011,0.00000,43.14,56.86,51,2023/09/17
Newsweek,0.01779,0.00012,0.00085,0.00122,0.00429,0.00051,0.00451,10.0,37.5,52.5,80,2023/09/17
One America News Network (OAN),0.01216,0.00006,0.00048,0.00528,0.00146,0.00018,0.00014,17.39,30.43,52.17,23,2023/09/17
Reuters,0.00098,0.00004,0.00024,0.00030,0.00028,0.00009,0.00005,0.00000,30.0,70.0,10,2023/09/17
The Epoch Times,0.00777,0.00016,0.00118,0.00112,0.00367,0.00020,0.00111,9.217,53.92,36.87,217,2023/09/17
The Hill,0.03055,0.00013,0.00084,0.00049,0.00776,0.00066,0.01992,12.5,30.0,57.5,40,2023/09/17
The New York Times,0.01441,0.00008,0.00059,0.00038,0.00483,0.00091,0.00135,19.23,44.23,36.54,52,2023/09/17
The Wall Street Journal,0.00414,0.00010,0.00068,0.00049,0.00165,0.00079,0.00007,12.31,55.38,32.31,65,2023/09/17
The Washington Times,0.02261,0.00008,0.00050,0.00530,0.01163,0.00142,0.00019,8.434,44.58,46.99,83,2023/09/17
Washington Examiner,0.00667,0.00006,0.00041,0.00465,0.00123,0.00023,0.00078,3.175,38.1,58.73,63,2023/09/17
