name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Fox News,0.03919,0.00011,0.00399,0.00981,0.01144,0.00198,0.00164,9.677,36.02,54.3,186,2026/09/23
NBC News,0.09783,0.00086,0.00349,0.00134,0.00456,0.00100,0.10469,25.0,25.0,50.0,8,2026/09/23
New York Post,0.04487,0.00021,0.00146,0.01564,0.01057,0.00063,0.00617,6.061,39.39,54.55,33,2026/09/23
Newsmax,0.00410,0.00008,0.00053,0.00062,0.00088,0.00101,0.00005,4.651,55.81,39.53,43,2026/09/23
One America News Network (OAN),0.05857,0.00006,0.00051,0.00050,0.04897,0.00047,0.00055,22.73,36.36,40.91,22,2026/09/23
Washington Examiner,0.00475,0.00009,0.00083,0.00053,0.00124,0.00029,0.00010,0.00000,77.78,22.22,9,2026/09/23
