name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
BBC,0.01243,0.00008,0.00064,0.00129,0.00309,0.00064,0.00039,25.0,40.91,34.09,44,2023/08/18
Fox News,0.01563,0.00008,0.00072,0.00258,0.00810,0.00054,0.00073,12.24,38.1,49.66,147,2023/08/18
NBC News,0.02054,0.00009,0.00036,0.01161,0.00241,0.00077,0.00246,11.54,25.64,62.82,78,2023/08/18
New York Post,0.03893,0.00008,0.00082,0.00223,0.01801,0.00053,0.00570,17.78,24.44,57.78,45,2023/08/18
Newsmax,0.00721,0.00007,0.00056,0.00207,0.00090,0.00042,0.00017,1.961,60.78,37.25,51,2023/08/18
Newsweek,0.01000,0.00012,0.00088,0.00573,0.00171,0.00047,0.00049,9.211,57.89,32.89,76,2023/08/18
One America News Network (OAN),0.03443,0.00019,0.00141,0.01702,0.00343,0.00269,0.00037,4.348,60.87,34.78,23,2023/08/18
Reuters,0.05645,0.00005,0.00028,0.04084,0.00808,0.00059,0.00031,10.0,50.0,40.0,10,2023/08/18
The Epoch Times,0.01171,0.00019,0.00139,0.00396,0.00278,0.00063,0.00058,5.607,55.14,39.25,107,2023/08/18
The Hill,0.02296,0.00005,0.00027,0.00803,0.00217,0.00573,0.00011,5.128,51.28,43.59,39,2023/08/18
The New York Times,0.02193,0.00016,0.00119,0.00346,0.00304,0.00031,0.01339,3.774,52.83,43.4,53,2023/08/18
The Wall Street Journal,0.00257,0.00004,0.00031,0.00022,0.00112,0.00009,0.00006,9.231,63.08,27.69,65,2023/08/18
The Washington Post,0.03425,0.00015,0.00076,0.00770,0.01697,0.00067,0.00663,13.76,34.86,51.38,109,2023/08/18
The Washington Times,0.01321,0.00007,0.00051,0.00122,0.00468,0.00027,0.00228,3.797,50.63,45.57,79,2023/08/18
Washington Examiner,0.02834,0.00016,0.01492,0.00176,0.00430,0.00067,0.00162,1.724,44.83,53.45,58,2023/08/18
