name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
BBC,0.01325,0.00009,0.00065,0.00089,0.00100,0.00072,0.00943,16.67,62.5,20.83,48,2023/08/11
Fox News,0.03091,0.00014,0.00643,0.00502,0.01063,0.00048,0.00335,14.69,31.47,53.85,143,2023/08/11
NBC News,0.01951,0.00007,0.00040,0.00997,0.00165,0.00104,0.00181,8.451,28.17,63.38,71,2023/08/11
New York Post,0.02287,0.00007,0.00080,0.00592,0.00481,0.00065,0.00033,9.524,35.71,54.76,42,2023/08/11
Newsmax,0.01747,0.00012,0.00085,0.00202,0.00152,0.00421,0.00116,4.0,42.0,54.0,50,2023/08/11
Newsweek,0.03104,0.00007,0.00056,0.00112,0.02072,0.00121,0.00008,8.696,52.17,39.13,69,2023/08/11
One America News Network (OAN),0.01306,0.00011,0.00097,0.00071,0.00294,0.00068,0.00088,17.39,39.13,43.48,23,2023/08/11
Reuters,0.01731,0.00004,0.00019,0.00232,0.00123,0.00290,0.00005,11.11,22.22,66.67,9,2023/08/11
The Epoch Times,0.01153,0.00014,0.00088,0.00128,0.00135,0.00312,0.00098,5.714,56.19,38.1,105,2023/08/11
The Hill,0.04811,0.00004,0.00053,0.00029,0.04479,0.00061,0.00011,4.651,41.86,53.49,43,2023/08/11
The New York Times,0.02544,0.00013,0.00143,0.00072,0.00601,0.00244,0.00015,16.98,45.28,37.74,53,2023/08/11
The Wall Street Journal,0.01700,0.00010,0.00078,0.00039,0.01338,0.00016,0.00008,16.92,50.77,32.31,65,2023/08/11
The Washington Post,0.01656,0.00013,0.00066,0.00112,0.00465,0.00171,0.00428,14.56,37.86,47.57,103,2023/08/11
The Washington Times,0.01024,0.00012,0.00056,0.00402,0.00384,0.00030,0.00018,9.091,45.45,45.45,77,2023/08/11
Washington Examiner,0.01501,0.00005,0.00041,0.00543,0.00155,0.00077,0.00028,10.0,30.0,60.0,60,2023/08/11
