name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
BBC,0.01262,0.00009,0.00068,0.00140,0.00499,0.00092,0.00059,20.45,36.36,43.18,44,2023/08/28
Fox News,0.03824,0.00010,0.00130,0.01139,0.01070,0.00580,0.00077,11.56,34.01,54.42,147,2023/08/28
NBC News,0.03288,0.00019,0.00108,0.01676,0.00263,0.00048,0.00784,12.5,34.38,53.12,64,2023/08/28
New York Post,0.04969,0.00019,0.00282,0.01222,0.01192,0.00173,0.01330,20.0,24.44,55.56,45,2023/08/28
Newsmax,0.02108,0.00027,0.00179,0.00592,0.00366,0.00410,0.00035,2.0,46.0,52.0,50,2023/08/28
Newsweek,0.02090,0.00013,0.00098,0.00105,0.00158,0.00787,0.00024,17.5,38.75,43.75,80,2023/08/28
One America News Network (OAN),0.00291,0.00005,0.00030,0.00030,0.00081,0.00035,0.00005,21.74,47.83,30.43,23,2023/08/28
Reuters,0.00125,0.00003,0.00017,0.00016,0.00044,0.00005,0.00003,40.0,10.0,50.0,10,2023/08/28
The Epoch Times,0.01011,0.00016,0.00107,0.00111,0.00188,0.00418,0.00011,10.29,54.9,34.8,204,2023/08/28
The Hill,0.02909,0.00009,0.00037,0.02547,0.00358,0.00032,0.00017,5.0,37.5,57.5,40,2023/08/28
The New York Times,0.01761,0.00007,0.00072,0.00036,0.00838,0.00227,0.00010,12.0,56.0,32.0,50,2023/08/28
The Wall Street Journal,0.00520,0.00009,0.00068,0.00043,0.00095,0.00048,0.00072,16.67,53.03,30.3,66,2023/08/28
The Washington Post,0.01000,0.00012,0.00065,0.00373,0.00267,0.00028,0.00029,18.69,32.71,48.6,107,2023/08/28
The Washington Times,0.03105,0.00015,0.00074,0.01073,0.00657,0.00035,0.00606,5.128,50.0,44.87,78,2023/08/28
Washington Examiner,0.00832,0.00005,0.00024,0.00457,0.00200,0.00029,0.00008,9.259,29.63,61.11,54,2023/08/28
