name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
BBC,0.00980,0.00009,0.00071,0.00101,0.00393,0.00113,0.00020,16.67,43.75,39.58,48,2023/08/05
Fox News,0.03296,0.00009,0.00081,0.00344,0.01198,0.00284,0.00649,19.12,33.09,47.79,136,2023/08/05
NBC News,0.01570,0.00009,0.00049,0.00314,0.00821,0.00039,0.00030,8.219,42.47,49.32,73,2023/08/05
New York Post,0.09276,0.00029,0.00382,0.01117,0.00454,0.00769,0.05780,22.22,26.67,51.11,45,2023/08/05
Newsmax,0.01252,0.00009,0.00064,0.00411,0.00430,0.00059,0.00014,3.922,49.02,47.06,51,2023/08/05
Newsweek,0.00654,0.00013,0.00090,0.00062,0.00144,0.00018,0.00399,11.59,44.93,43.48,69,2023/08/05
One America News Network (OAN),0.01581,0.00014,0.00111,0.00111,0.00314,0.00272,0.00015,8.696,39.13,52.17,23,2023/08/05
Reuters,0.00350,0.00003,0.00018,0.00047,0.00047,0.00033,0.00004,10.0,30.0,60.0,10,2023/08/05
The Epoch Times,0.01245,0.00019,0.00138,0.00117,0.00326,0.00064,0.00084,6.061,57.58,36.36,99,2023/08/05
The Hill,0.06345,0.00007,0.00063,0.00034,0.05146,0.00686,0.00037,2.5,37.5,60.0,40,2023/08/05
The New York Times,0.02442,0.00014,0.00112,0.00107,0.00533,0.00100,0.00585,10.71,51.79,37.5,56,2023/08/05
The Wall Street Journal,0.00320,0.00005,0.00044,0.00046,0.00103,0.00014,0.00008,12.31,53.85,33.85,65,2023/08/05
The Washington Post,0.02325,0.00013,0.00068,0.00355,0.00609,0.00252,0.00599,13.64,42.05,44.32,88,2023/08/05
The Washington Times,0.03259,0.00008,0.00051,0.00471,0.02341,0.00049,0.00013,10.81,36.49,52.7,74,2023/08/05
Washington Examiner,0.01833,0.00004,0.00032,0.00196,0.00609,0.00062,0.00343,4.688,32.81,62.5,64,2023/08/05
