name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.01089,0.00005,0.00039,0.00141,0.00153,0.00238,0.00015,49,2023/03/05
BBC,0.00690,0.00014,0.00095,0.00115,0.00156,0.00200,0.00015,48,2023/03/05
Fox News,0.02732,0.00011,0.00091,0.00120,0.00990,0.00181,0.00871,126,2023/03/05
NBC News,0.03951,0.00009,0.00064,0.01497,0.00532,0.00176,0.00270,64,2023/03/05
New York Post,0.04163,0.00019,0.00158,0.00985,0.00495,0.00265,0.01632,47,2023/03/05
Newsmax,0.00968,0.00008,0.00063,0.00070,0.00192,0.00231,0.00009,48,2023/03/05
Newsweek,0.01678,0.00005,0.00076,0.00044,0.00722,0.00129,0.00059,87,2023/03/05
One America News Network (OAN),0.00329,0.00006,0.00059,0.00090,0.00103,0.00011,0.00015,28,2023/03/05
Reuters,0.00351,0.00008,0.00049,0.00181,0.00083,0.00016,0.00009,33,2023/03/05
The Epoch Times,0.00653,0.00031,0.00220,0.00058,0.00359,0.00065,0.00018,102,2023/03/05
The Guardian (US),0.02385,0.00010,0.00094,0.00409,0.01145,0.00075,0.00041,92,2023/03/05
The Hill,0.00737,0.00005,0.00034,0.00225,0.00079,0.00208,0.00008,43,2023/03/05
The New York Times,0.01589,0.00010,0.00071,0.00566,0.00978,0.00017,0.00012,63,2023/03/05
The Wall Street Journal,0.00978,0.00007,0.00045,0.00554,0.00122,0.00052,0.00008,66,2023/03/05
The Washington Post,0.02290,0.00009,0.00063,0.00312,0.00630,0.00333,0.00077,94,2023/03/05
The Washington Times,0.02200,0.00004,0.00028,0.00698,0.00823,0.00050,0.00009,35,2023/03/05
Washington Examiner,0.04489,0.00004,0.00032,0.00246,0.03154,0.00078,0.00008,67,2023/03/05
