name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
BBC,0.00723,0.00013,0.00114,0.00099,0.00398,0.00019,0.00014,45,2023/03/02
Fox News,0.02341,0.00010,0.00069,0.00794,0.00549,0.00080,0.00406,142,2023/03/02
Newsmax,0.01093,0.00030,0.00151,0.00421,0.00203,0.00266,0.00013,50,2023/03/02
The Washington Times,0.00279,0.00004,0.00028,0.00021,0.00105,0.00013,0.00005,35,2023/03/02
The New York Times,0.02544,0.00006,0.00057,0.00503,0.00965,0.00258,0.00011,67,2023/03/02
New York Post,0.04432,0.00013,0.00206,0.00069,0.00584,0.00676,0.01850,44,2023/03/02
Associated Press,0.02009,0.00006,0.00044,0.01530,0.00307,0.00017,0.00015,45,2023/03/02
NBC News,0.02092,0.00018,0.00055,0.00936,0.00179,0.00324,0.00170,67,2023/03/02
Newsweek,0.02147,0.00009,0.00099,0.00198,0.01070,0.00189,0.00053,99,2023/03/02
