name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.01698,0.00009,0.00055,0.00109,0.00401,0.00181,0.00120,10.0,42.0,48.0,50,2023/02/20
BBC,0.00725,0.00009,0.00072,0.00114,0.00264,0.00070,0.00013,20.45,54.55,25.0,44,2023/02/20
Fox News,0.03727,0.00010,0.00075,0.00779,0.01894,0.00051,0.00518,17.42,38.06,44.52,155,2023/02/20
NBC News,0.02559,0.00019,0.00067,0.01403,0.00259,0.00231,0.00066,5.797,42.03,52.17,69,2023/02/20
New York Post,0.05705,0.00022,0.00175,0.02457,0.00748,0.00245,0.01135,25.0,32.5,42.5,40,2023/02/20
Newsmax,0.00519,0.00015,0.00128,0.00050,0.00135,0.00076,0.00017,1.961,50.98,47.06,51,2023/02/20
Newsweek,0.02362,0.00010,0.00087,0.00390,0.00540,0.00531,0.00031,13.98,44.09,41.94,93,2023/02/20
One America News Network (OAN),0.00366,0.00004,0.00040,0.00028,0.00108,0.00018,0.00011,21.43,50.0,28.57,28,2023/02/20
Reuters,0.02759,0.00009,0.00055,0.01484,0.00544,0.00636,0.00008,11.76,44.12,44.12,34,2023/02/20
The Epoch Times,0.01628,0.00015,0.00092,0.00520,0.00252,0.00273,0.00059,8.257,44.95,46.79,109,2023/02/20
The Guardian (US),0.04180,0.00015,0.00113,0.00633,0.01970,0.00263,0.00329,11.88,36.63,51.49,101,2023/02/20
The Hill,0.00361,0.00003,0.00020,0.00029,0.00173,0.00009,0.00003,6.818,59.09,34.09,44,2023/02/20
The New York Times,0.04547,0.00015,0.00075,0.02047,0.01917,0.00086,0.00027,11.86,47.46,40.68,59,2023/02/20
The Wall Street Journal,0.00193,0.00006,0.00037,0.00066,0.00059,0.00009,0.00005,17.91,49.25,32.84,67,2023/02/20
The Washington Post,0.01937,0.00009,0.00044,0.00841,0.00375,0.00240,0.00050,16.84,37.89,45.26,95,2023/02/20
The Washington Times,0.00556,0.00005,0.00025,0.00067,0.00073,0.00102,0.00022,8.108,45.95,45.95,37,2023/02/20
Washington Examiner,0.03412,0.00015,0.00075,0.01564,0.01510,0.00088,0.00062,3.175,46.03,50.79,63,2023/02/20
