name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.02485,0.00013,0.00064,0.00612,0.00171,0.00432,0.00349,50,2023/02/06
BBC,0.01424,0.00011,0.00070,0.00109,0.00079,0.00768,0.00011,40,2023/02/06
Fox News,0.00983,0.00010,0.00044,0.00289,0.00196,0.00042,0.00230,151,2023/02/06
NBC News,0.03133,0.00011,0.00086,0.01306,0.00826,0.00088,0.00139,60,2023/02/06
New York Post,0.02690,0.00007,0.00073,0.00387,0.00329,0.00646,0.00021,40,2023/02/06
Newsmax,0.02142,0.00008,0.00041,0.00646,0.00790,0.00127,0.00012,50,2023/02/06
Newsweek,0.01478,0.00008,0.00051,0.00184,0.00110,0.00135,0.00545,84,2023/02/06
One America News Network (OAN),0.04286,0.00013,0.00050,0.00410,0.00136,0.02817,0.00025,28,2023/02/06
Reuters,0.00638,0.00005,0.00034,0.00101,0.00067,0.00017,0.00009,37,2023/02/06
The Epoch Times,0.00756,0.00021,0.00158,0.00129,0.00289,0.00062,0.00017,107,2023/02/06
The Guardian (US),0.01207,0.00013,0.00099,0.00099,0.00465,0.00086,0.00292,94,2023/02/06
The Hill,0.00395,0.00003,0.00022,0.00034,0.00062,0.00021,0.00124,41,2023/02/06
The New York Times,0.00935,0.00007,0.00053,0.00290,0.00189,0.00083,0.00010,68,2023/02/06
The Wall Street Journal,0.01514,0.00005,0.00051,0.00129,0.00551,0.00226,0.00010,67,2023/02/06
The Washington Post,0.03415,0.00022,0.00080,0.01411,0.00528,0.00087,0.00894,100,2023/02/06
The Washington Times,0.03536,0.00007,0.00039,0.02230,0.00657,0.00092,0.00018,41,2023/02/06
Washington Examiner,0.02279,0.00005,0.00050,0.00784,0.00600,0.00071,0.00015,64,2023/02/06
