name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,count,date
Associated Press,0.04850,0.00027,0.00116,0.01513,0.01362,0.00071,0.01255,50,2023/02/24
BBC,0.00249,0.00011,0.00080,0.00075,0.00100,0.00010,0.00008,45,2023/02/24
Fox News,0.02205,0.00010,0.00053,0.00094,0.00463,0.00620,0.00542,164,2023/02/24
NBC News,0.03742,0.00010,0.00056,0.01116,0.01432,0.00054,0.00552,62,2023/02/24
New York Post,0.01868,0.00005,0.00043,0.00455,0.00328,0.00194,0.00019,44,2023/02/24
Newsmax,0.03010,0.00016,0.00093,0.00764,0.00157,0.00286,0.01280,50,2023/02/24
Newsweek,0.02673,0.00007,0.00077,0.00611,0.00877,0.00114,0.00012,93,2023/02/24
One America News Network (OAN),0.00481,0.00006,0.00048,0.00034,0.00186,0.00021,0.00101,28,2023/02/24
Reuters,0.00183,0.00013,0.00095,0.00051,0.00085,0.00041,0.00007,50,2023/02/24
The Epoch Times,0.00866,0.00025,0.00263,0.00107,0.00200,0.00196,0.00169,99,2023/02/24
The Guardian (US),0.02738,0.00008,0.00049,0.00070,0.00743,0.00155,0.00757,93,2023/02/24
The Hill,0.01109,0.00006,0.00030,0.00596,0.00163,0.00014,0.00011,46,2023/02/24
The New York Times,0.03167,0.00011,0.00061,0.00683,0.01247,0.00048,0.00645,60,2023/02/24
The Wall Street Journal,0.00220,0.00011,0.00073,0.00084,0.00108,0.00012,0.00006,68,2023/02/24
The Washington Post,0.02635,0.00007,0.00213,0.00645,0.00981,0.00023,0.00023,102,2023/02/24
The Washington Times,0.02399,0.00008,0.00033,0.01084,0.00171,0.00027,0.00974,40,2023/02/24
Washington Examiner,0.02502,0.00004,0.00033,0.00162,0.00590,0.00069,0.00477,65,2023/02/24
