name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Associated Press,0.03038,0.00010,0.00060,0.00360,0.00394,0.00990,0.00918,8.0,50.0,42.0,50,2023/02/13
BBC,0.01772,0.00010,0.00082,0.00893,0.00499,0.00037,0.00072,25.0,47.73,27.27,44,2023/02/13
Fox News,0.03120,0.00011,0.00525,0.00541,0.00966,0.00361,0.00032,18.75,35.62,45.62,160,2023/02/13
NBC News,0.03015,0.00016,0.00058,0.01561,0.00367,0.00049,0.00401,14.75,37.7,47.54,61,2023/02/13
New York Post,0.08218,0.00106,0.02829,0.00239,0.02767,0.00086,0.03757,32.5,17.5,50.0,40,2023/02/13
Newsmax,0.02934,0.00011,0.00081,0.01556,0.00910,0.00038,0.00748,11.76,45.1,43.14,51,2023/02/13
Newsweek,0.02042,0.00016,0.00081,0.00754,0.00576,0.00111,0.00027,11.76,44.12,44.12,102,2023/02/13
One America News Network (OAN),0.01596,0.00016,0.00132,0.00497,0.00133,0.00162,0.00037,35.71,28.57,35.71,28,2023/02/13
Reuters,0.00992,0.00006,0.00031,0.00178,0.00161,0.00301,0.00009,21.62,27.03,51.35,37,2023/02/13
The Epoch Times,0.00346,0.00008,0.00052,0.00087,0.00068,0.00014,0.00036,10.28,47.66,42.06,107,2023/02/13
The Guardian (US),0.02673,0.00024,0.00929,0.00354,0.01055,0.00119,0.00044,18.75,36.46,44.79,96,2023/02/13
The Hill,0.06231,0.00005,0.00046,0.00083,0.05325,0.00050,0.00013,5.263,36.84,57.89,38,2023/02/13
The New York Times,0.02929,0.00031,0.00242,0.00271,0.00232,0.00208,0.01398,17.39,60.87,21.74,69,2023/02/13
The Wall Street Journal,0.00741,0.00011,0.00059,0.00548,0.00099,0.00041,0.00016,11.43,61.43,27.14,70,2023/02/13
The Washington Post,0.01975,0.00011,0.00069,0.00321,0.00386,0.00528,0.00146,20.88,37.36,41.76,91,2023/02/13
The Washington Times,0.01992,0.00010,0.00059,0.00110,0.00608,0.00035,0.00844,9.677,25.81,64.52,31,2023/02/13
Washington Examiner,0.00736,0.00005,0.00065,0.00054,0.00195,0.00029,0.00024,6.452,38.71,54.84,62,2023/02/13
