name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Fox News,0.02489,0.00010,0.00197,0.00598,0.00772,0.00237,0.00042,19.05,38.78,42.18,147,2024/01/16
NBC News,0.01508,0.00008,0.00056,0.00281,0.00449,0.00052,0.00131,17.31,48.08,34.62,52,2024/01/16
New York Post,0.03986,0.00017,0.01512,0.00052,0.00433,0.00020,0.01741,24.49,36.73,38.78,49,2024/01/16
Newsmax,0.01927,0.00016,0.00102,0.01155,0.00270,0.00166,0.00029,8.0,42.0,50.0,50,2024/01/16
One America News Network (OAN),0.01653,0.00008,0.00375,0.00030,0.00449,0.00046,0.00022,21.74,47.83,30.43,23,2024/01/16
The Epoch Times,0.00848,0.00009,0.00071,0.00084,0.00148,0.00397,0.00011,10.0,54.5,35.5,200,2024/01/16
The Hill,0.00554,0.00002,0.00017,0.00016,0.00388,0.00005,0.00003,10.71,60.71,28.57,28,2024/01/16
The Wall Street Journal,0.00523,0.00011,0.00062,0.00164,0.00199,0.00012,0.00018,29.41,51.47,19.12,68,2024/01/16
Washington Examiner,0.00055,0.00017,0.00141,0.00033,0.00159,0.00013,0.00007,0.00000,100.0,0.00000,3,2024/01/16
