name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Fox News,0.01290,0.00008,0.00109,0.00200,0.00151,0.00109,0.00168,19.58,40.56,39.86,143,2024/01/01
NBC News,0.03744,0.00009,0.00039,0.01395,0.00180,0.00999,0.00018,18.03,26.23,55.74,61,2024/01/01
New York Post,0.05509,0.00014,0.00123,0.00502,0.00688,0.00879,0.00946,20.0,31.11,48.89,45,2024/01/01
Newsmax,0.03414,0.00030,0.00158,0.00937,0.00310,0.01291,0.00114,5.882,62.75,31.37,51,2024/01/01
One America News Network (OAN),0.01884,0.00007,0.00048,0.00659,0.00295,0.00101,0.00021,8.696,39.13,52.17,23,2024/01/01
The Epoch Times,0.00821,0.00012,0.00079,0.00131,0.00154,0.00094,0.00010,10.11,52.25,37.64,178,2024/01/01
The Hill,0.00211,0.00005,0.00041,0.00032,0.00096,0.00008,0.00005,0.00000,57.14,42.86,28,2024/01/01
The Wall Street Journal,0.00859,0.00005,0.00043,0.00671,0.00148,0.00014,0.00006,12.31,70.77,16.92,65,2024/01/01
The Washington Times,0.04174,0.00019,0.00125,0.00838,0.01981,0.00447,0.00022,16.67,41.03,42.31,78,2024/01/01
Washington Examiner,0.02531,0.00010,0.00044,0.01327,0.00268,0.00327,0.00038,9.836,32.79,57.38,61,2024/01/01
