name,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,positive,neutral,negative,count,date
Fox News,0.01867,0.00010,0.00506,0.00168,0.00795,0.00106,0.00037,23.94,38.73,37.32,142,2024/01/15
NBC News,0.02447,0.00007,0.00047,0.01037,0.00546,0.00055,0.00135,11.54,38.46,50.0,52,2024/01/15
New York Post,0.03459,0.00018,0.00117,0.00067,0.00489,0.00093,0.01993,16.33,38.78,44.9,49,2024/01/15
Newsmax,0.01907,0.00013,0.00068,0.00670,0.00142,0.00548,0.00010,14.0,54.0,32.0,50,2024/01/15
One America News Network (OAN),0.01176,0.00007,0.00358,0.00023,0.00162,0.00045,0.00020,26.09,30.43,43.48,23,2024/01/15
The Epoch Times,0.00788,0.00011,0.00087,0.00068,0.00224,0.00087,0.00012,10.36,55.96,33.68,193,2024/01/15
The Hill,0.01529,0.00003,0.00025,0.00026,0.01012,0.00009,0.00005,11.11,40.74,48.15,27,2024/01/15
The Wall Street Journal,0.00407,0.00012,0.00073,0.00109,0.00107,0.00025,0.00024,27.27,39.39,33.33,66,2024/01/15
Washington Examiner,0.00062,0.00020,0.00172,0.00037,0.00206,0.00015,0.00008,0.00000,100.0,0.00000,2,2024/01/15
